event,track,particle,d1,d2,d3
0,440,e-,1,0,0
1,0,null,0,0,0
2,0,null,0,0,0
3,0,null,0,0,0
4,0,null,0,0,0
5,0,null,0,0,0
6,1,primary_proton,1,1,0
7,0,null,0,0,0
8,1,primary_proton,1,1,1
9,0,null,0,0,0
10,0,null,0,0,0
11,1,primary_proton,1,1,1
12,0,null,0,0,0
13,0,null,0,0,0
14,0,null,0,0,0
15,1,primary_proton,1,1,1
16,0,null,0,0,0
17,10,secondary_proton,1,1,1
18,0,null,0,0,0
19,0,null,0,0,0
20,0,null,0,0,0
21,0,null,0,0,0
22,1,primary_proton,1,1,1
23,1,primary_proton,1,1,1
24,0,null,0,0,0
25,0,null,0,0,0
26,1,primary_proton,1,1,1
27,1,primary_proton,1,1,1
28,0,null,0,0,0
29,0,null,0,0,0
30,0,null,0,0,0
31,1,primary_proton,1,1,1
32,0,null,0,0,0
33,1,primary_proton,1,1,1
34,0,null,0,0,0
35,0,null,0,0,0
36,8,secondary_proton,1,0,0
37,1,primary_proton,1,1,1
38,0,null,0,0,0
39,0,null,0,0,0
40,1,primary_proton,1,1,1
41,4,secondary_proton,1,0,0
42,0,null,0,0,0
43,0,null,0,0,0
44,1,primary_proton,1,1,1
45,1,primary_proton,1,1,1
46,0,null,0,0,0
47,0,null,0,0,0
48,0,null,0,0,0
49,0,null,0,0,0
50,0,null,0,0,0
51,1,primary_proton,1,1,1
52,0,null,0,0,0
53,0,null,0,0,0
54,1,primary_proton,1,1,1
55,0,null,0,0,0
56,1,primary_proton,1,1,1
57,10,secondary_proton,1,1,1
58,0,null,0,0,0
59,0,null,0,0,0
60,1,primary_proton,1,1,1
61,0,null,0,0,0
62,1,primary_proton,1,1,1
63,0,null,0,0,0
64,0,null,0,0,0
65,0,null,0,0,0
66,0,null,0,0,0
67,1,primary_proton,1,1,0
68,0,null,0,0,0
69,224,e-,1,0,0
70,0,null,0,0,0
71,0,null,0,0,0
72,0,null,0,0,0
73,0,null,0,0,0
74,0,null,0,0,0
75,0,null,0,0,0
76,0,null,0,0,0
77,0,null,0,0,0
78,0,null,0,0,0
79,0,null,0,0,0
80,0,null,0,0,0
81,0,null,0,0,0
82,0,null,0,0,0
83,0,null,0,0,0
84,0,null,0,0,0
85,0,null,0,0,0
86,0,null,0,0,0
87,1,primary_proton,1,1,0
88,0,null,0,0,0
89,0,null,0,0,0
90,0,null,0,0,0
91,0,null,0,0,0
92,0,null,0,0,0
93,1,primary_proton,1,1,1
94,0,null,0,0,0
95,0,null,0,0,0
96,0,null,0,0,0
97,0,null,0,0,0
98,0,null,0,0,0
99,0,null,0,0,0
100,0,null,0,0,0
101,1,primary_proton,1,1,0
102,4,secondary_proton,1,1,0
103,0,null,0,0,0
104,1,primary_proton,1,1,1
105,0,null,0,0,0
106,531,e-,1,0,0
107,0,null,0,0,0
108,0,null,0,0,0
109,0,null,0,0,0
110,0,null,0,0,0
111,0,null,0,0,0
112,0,null,0,0,0
113,1,primary_proton,1,1,1
114,0,null,0,0,0
115,1,primary_proton,1,1,1
116,0,null,0,0,0
117,0,null,0,0,0
118,0,null,0,0,0
119,0,null,0,0,0
120,1,primary_proton,1,1,1
121,0,null,0,0,0
122,0,null,0,0,0
123,0,null,0,0,0
124,274,e-,1,0,0
125,0,null,0,0,0
126,0,null,0,0,0
127,0,null,0,0,0
128,0,null,0,0,0
129,0,null,0,0,0
130,1,primary_proton,1,1,1
131,4,secondary_proton,1,1,1
132,6,secondary_proton,1,0,0
133,0,null,0,0,0
134,0,null,0,0,0
135,0,null,0,0,0
136,0,null,0,0,0
137,1,primary_proton,1,1,1
138,0,null,0,0,0
139,0,null,0,0,0
140,0,null,0,0,0
141,0,null,0,0,0
142,0,null,0,0,0
143,1,primary_proton,1,1,1
144,0,null,0,0,0
145,0,null,0,0,0
146,0,null,0,0,0
147,0,null,0,0,0
148,0,null,0,0,0
149,0,null,0,0,0
150,1,primary_proton,1,1,1
151,0,null,0,0,0
152,0,null,0,0,0
153,0,null,0,0,0
154,0,null,0,0,0
155,0,null,0,0,0
156,0,null,0,0,0
157,0,null,0,0,0
158,0,null,0,0,0
159,0,null,0,0,0
160,0,null,0,0,0
161,0,null,0,0,0
162,1,primary_proton,1,1,1
163,0,null,0,0,0
164,0,null,0,0,0
165,0,null,0,0,0
166,0,null,0,0,0
167,0,null,0,0,0
168,0,null,0,0,0
169,1,primary_proton,1,1,1
170,0,null,0,0,0
171,3,secondary_proton,1,1,0
172,1,primary_proton,1,1,1
173,0,null,0,0,0
174,0,null,0,0,0
175,1,primary_proton,1,1,1
176,1,primary_proton,1,1,1
177,1,primary_proton,1,1,1
178,0,null,0,0,0
179,0,null,0,0,0
180,0,null,0,0,0
181,0,null,0,0,0
182,1,primary_proton,1,1,0
183,1,primary_proton,1,1,1
184,0,null,0,0,0
185,0,null,0,0,0
186,0,null,0,0,0
187,0,null,0,0,0
188,0,null,0,0,0
189,1,primary_proton,1,1,1
190,0,null,0,0,0
191,0,null,0,0,0
192,0,null,0,0,0
193,0,null,0,0,0
194,0,null,0,0,0
195,0,null,0,0,0
196,0,null,0,0,0
197,0,null,0,0,0
198,0,null,0,0,0
199,0,null,0,0,0
200,0,null,0,0,0
201,0,null,0,0,0
202,0,null,0,0,0
203,0,null,0,0,0
204,0,null,0,0,0
205,0,null,0,0,0
206,550,e-,1,0,1
207,0,null,0,0,0
208,0,null,0,0,0
209,0,null,0,0,0
210,0,null,0,0,0
211,0,null,0,0,0
