run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,142,21,602,33,0,0,261,1059,2725,194,11,296,8,0,0,121,630,2996,178,9,140,2,0,0,62,391,2657,183,7,207,6,0,0,117,520,2941,
2,172,32,551,26,0,0,307,1088,3053,201,12,244,13,0,0,115,585,3248,198,1,105,3,0,0,61,368,2771,161,21,278,6,0,0,138,604,2997,
3,137,26,659,38,0,2,296,1158,2660,208,15,224,6,0,0,125,578,3528,214,11,89,4,0,0,73,391,3440,181,13,181,7,1,0,101,484,2811,
4,134,14,463,27,0,0,241,879,2463,188,11,219,3,0,0,89,510,3230,217,8,134,2,0,0,73,434,3293,199,13,236,6,0,0,98,552,3692,
5,148,32,650,40,0,0,280,1150,3051,179,16,247,4,0,0,136,582,2720,164,4,106,5,0,0,70,349,2605,193,13,247,4,0,0,124,581,3047,
6,121,20,418,26,0,0,178,763,2170,191,6,174,6,0,0,88,465,3124,199,5,89,2,0,0,54,349,2997,184,8,195,7,0,0,81,475,3156,
7,127,12,306,17,0,0,225,687,2072,203,7,137,3,0,0,89,439,3212,205,9,92,2,0,0,64,372,3207,197,13,152,4,0,0,92,458,3250,
8,159,18,400,30,0,0,239,846,2858,196,16,375,5,0,0,125,717,3371,192,8,159,8,0,0,76,443,3036,219,19,227,6,0,0,109,580,3420,
9,144,24,709,33,0,1,254,1165,2577,177,19,306,7,0,0,129,638,3240,178,6,127,2,0,0,61,374,2683,203,11,228,12,0,0,106,560,3128,
10,140,27,476,42,0,0,315,1000,2691,195,20,271,3,0,0,138,627,3257,198,12,151,3,0,0,81,445,2994,181,16,262,9,1,0,128,597,3002,

Total,1424,226,5234,312,0,3,2596,9795,26320,1932,133,2493,58,0,0,1155,5771,31926,1943,73,1192,33,0,0,675,3916,29683,1901,134,2213,67,2,0,1094,5411,31444
Average,142,22,523,31,0,0,259,979,2632,193,13,249,5,0,0,115,577,3192,194,7,119,3,0,0,67,391,2968,190,13,221,6,0,0,109,541,3144
PerPrimary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
