event,track,particle,d1,d2,d3
0,3,secondary_proton,1,1,0
1,5,kaon-,1,1,1
2,3,secondary_proton,1,0,0
3,46,pi-,1,0,0
4,1,primary_proton,1,1,1
5,0,null,0,0,0
6,0,null,0,0,0
7,17,pi-,1,1,1
8,1,primary_proton,1,1,1
9,10,secondary_proton,1,1,1
10,0,null,0,0,0
11,0,null,0,0,0
12,0,null,0,0,0
13,8,pi+,1,1,1
14,11,pi+,1,0,0
15,0,null,0,0,0
16,0,null,0,0,0
17,1,primary_proton,1,1,1
18,0,null,0,0,0
19,0,null,0,0,0
20,8,pi+,1,1,1
21,0,null,0,0,0
22,4495,e-,1,1,0
23,13,secondary_proton,1,1,1
24,2985,secondary_proton,1,1,1
25,123,secondary_proton,1,1,0
26,5,pi-,1,1,1
27,9,secondary_proton,1,1,0
28,1,primary_proton,1,1,1
29,11,pi-,1,1,1
30,0,null,0,0,0
31,1,primary_proton,1,1,1
32,28,pi-,1,1,1
33,0,null,0,0,0
34,0,null,0,0,0
35,1,primary_proton,1,1,1
36,27,pi+,1,1,0
37,0,null,0,0,0
38,4,pi-,1,1,0
39,0,null,0,0,0
40,49,pi-,1,1,0
41,526,e-,1,1,0
42,9,secondary_proton,1,1,1
43,31,pi+,1,1,0
44,13,pi-,1,1,0
45,0,null,0,0,0
46,11,secondary_proton,1,1,1
47,29,pi-,1,0,0
48,1,primary_proton,1,1,1
49,414,pi+,1,1,1
50,0,null,0,0,0
51,3084,e-,1,0,0
52,7616,e-,1,0,0
53,4670,e-,1,1,1
54,10,secondary_proton,1,1,1
55,38,secondary_proton,1,1,1
56,15,secondary_proton,1,1,1
57,8,pi-,1,1,1
58,3372,e-,1,1,1
59,36,pi-,1,1,1
60,1,primary_proton,1,1,1
61,1,primary_proton,1,1,1
62,13,pi-,1,0,0
63,5,secondary_proton,1,1,1
64,1,primary_proton,1,1,1
65,0,null,0,0,0
66,5,secondary_proton,1,1,1
67,1,primary_proton,1,1,1
68,4,secondary_proton,1,1,1
69,868,secondary_proton,1,0,0
70,29,pi+,1,1,1
71,0,null,0,0,0
72,17,pi-,1,1,0
73,1,primary_proton,1,1,1
74,3886,secondary_proton,1,1,0
75,9,pi-,1,1,0
76,0,null,0,0,0
77,10,pi+,1,1,1
78,0,null,0,0,0
79,0,null,0,0,0
80,7,secondary_proton,1,1,1
81,0,null,0,0,0
82,1,primary_proton,1,1,1
83,1,primary_proton,1,1,1
84,0,null,0,0,0
85,0,null,0,0,0
86,0,null,0,0,0
87,0,null,0,0,0
88,1,primary_proton,1,1,1
89,1,primary_proton,1,1,1
90,1,primary_proton,1,1,1
91,12,pi-,1,1,1
92,0,null,0,0,0
93,12,secondary_proton,1,1,1
94,1615,e-,1,0,0
95,0,null,0,0,0
96,0,null,0,0,0
97,0,null,0,0,0
98,0,null,0,0,0
99,0,null,0,0,0
100,1,primary_proton,1,1,1
101,0,null,0,0,0
102,11,pi+,1,1,1
103,17,pi+,1,1,0
104,11,pi-,1,1,0
105,4,pi+,1,0,0
106,158,pi+,1,1,1
107,0,null,0,0,0
108,8,pi+,1,1,1
109,0,null,0,0,0
110,0,null,0,0,0
111,1119,e-,1,0,0
112,2,secondary_proton,1,0,0
113,0,null,0,0,0
114,118,pi+,1,1,1
115,1,primary_proton,1,1,1
116,0,null,0,0,0
117,1,primary_proton,1,1,1
118,0,null,0,0,0
119,9,pi-,1,1,1
120,1,primary_proton,1,1,1
121,0,null,0,0,0
122,6,pi+,1,0,0
123,779,e-,1,0,0
124,1,primary_proton,1,1,1
125,38,secondary_proton,1,0,0
126,4504,secondary_proton,1,0,0
127,0,null,0,0,0
128,0,null,0,0,0
129,0,null,0,0,0
130,1,primary_proton,1,1,1
131,14,secondary_proton,1,1,0
132,0,null,0,0,0
133,1,primary_proton,1,1,1
134,19,pi+,1,1,0
135,12,secondary_proton,1,1,1
136,0,null,0,0,0
137,19,pi-,1,1,0
138,7398,secondary_proton,1,1,1
139,15,secondary_proton,1,1,1
140,5356,pi+,1,0,0
141,4,secondary_proton,1,0,0
142,1,primary_proton,1,1,1
143,5,secondary_proton,1,1,1
144,7,secondary_proton,1,1,0
145,0,null,0,0,0
146,2,secondary_proton,1,1,1
147,0,null,0,0,0
148,0,null,0,0,0
149,0,null,0,0,0
150,1,primary_proton,1,1,1
151,1,primary_proton,1,1,1
152,1,primary_proton,1,1,1
153,4,secondary_proton,1,1,1
154,12,pi+,1,0,0
155,25,secondary_proton,1,0,0
156,0,null,0,0,0
157,0,null,0,0,0
158,0,null,0,0,0
159,32,secondary_proton,1,0,0
160,2903,secondary_proton,1,1,0
161,10,pi+,1,0,0
162,19,pi+,1,1,1
163,0,null,0,0,0
164,0,null,0,0,0
165,0,null,0,0,0
166,10,pi-,1,0,0
167,1,primary_proton,1,1,1
168,2,secondary_proton,1,1,1
169,17,pi+,1,0,0
170,0,null,0,0,0
171,666,pi-,1,1,1
172,1,primary_proton,1,1,1
173,10,secondary_proton,1,1,1
174,10,secondary_proton,1,1,1
175,0,null,0,0,0
176,2506,secondary_proton,1,1,1
177,0,null,0,0,0
178,8,pi+,1,1,1
179,1,primary_proton,1,1,1
180,1,primary_proton,1,1,1
181,0,null,0,0,0
182,1,primary_proton,1,1,1
183,0,null,0,0,0
184,0,null,0,0,0
185,0,null,0,0,0
186,10,secondary_proton,1,1,1
187,16,pi-,1,1,1
188,17,pi+,1,1,1
189,16,pi+,1,1,1
190,5886,e-,1,0,0
191,0,null,0,0,0
192,12,pi+,1,1,1
193,1,primary_proton,1,1,1
194,24,secondary_proton,1,1,0
195,0,null,0,0,0
197,2738,secondary_proton,1,1,0
198,0,null,0,0,0
199,1,primary_proton,1,1,1
200,29,pi+,1,0,0
201,24,pi-,1,1,1
202,886,pi+,1,0,0
203,0,null,0,0,0
204,0,null,0,0,0
205,0,null,0,0,0
206,7349,secondary_proton,1,1,0
207,12,pi+,1,1,1
208,104,pi+,1,1,0
209,18,secondary_proton,1,1,1
210,1,primary_proton,1,1,1
211,0,null,0,0,0
212,5,secondary_proton,1,0,0
213,0,null,0,0,0
214,20,secondary_proton,1,1,0
215,503,e-,1,1,1
216,6,pi-,1,0,0
217,1,primary_proton,1,1,1
218,1,primary_proton,1,1,1
219,0,null,0,0,0
220,1,primary_proton,1,1,1
221,1,primary_proton,1,1,1
222,9,pi+,1,0,0
223,1,primary_proton,1,1,1
224,1114,secondary_proton,1,0,0
225,1,primary_proton,1,1,1
226,19,pi+,1,1,1
227,0,null,0,0,0
228,0,null,0,0,0
229,0,null,0,0,0
230,0,null,0,0,0
231,0,null,0,0,0
232,1,primary_proton,1,1,1
233,0,null,0,0,0
234,1,primary_proton,1,1,1
235,15,pi+,1,0,1
236,19,pi+,1,1,0
237,1699,pi+,1,1,0
238,1,primary_proton,1,1,1
239,1,primary_proton,1,1,1
240,14,secondary_proton,1,0,0
241,1,primary_proton,1,1,1
242,0,null,0,0,0
243,0,null,0,0,0
244,4815,secondary_proton,1,1,1
245,0,null,0,0,0
246,26,secondary_proton,1,1,1
247,20,pi-,1,1,1
248,0,null,0,0,0
249,1,primary_proton,1,1,0
250,0,null,0,0,0
251,0,null,0,0,0
252,3,pi+,1,0,0
253,0,null,0,0,0
254,108,pi-,1,1,0
255,15,pi+,1,1,1
256,16,secondary_proton,1,1,1
257,1,primary_proton,1,1,1
258,1,primary_proton,1,1,1
259,0,null,0,0,0
260,1,primary_proton,1,1,1
261,0,null,0,0,0
262,15,pi+,1,0,0
263,0,null,0,0,0
264,11,pi+,1,0,0
265,0,null,0,0,0
266,0,null,0,0,0
267,6694,e-,1,0,0
268,9,pi-,1,1,1
269,7,secondary_proton,1,0,0
270,1,primary_proton,1,1,1
271,12,pi+,1,1,1
272,0,null,0,0,0
273,15,pi+,1,1,1
274,2,secondary_proton,1,1,1
275,0,null,0,0,0
276,0,null,0,0,0
277,0,null,0,0,0
278,6,secondary_proton,1,1,1
279,12,secondary_proton,1,1,1
280,4207,secondary_proton,1,1,1
281,8,secondary_proton,1,1,1
282,24,pi+,1,1,1
283,795,e-,1,1,1
284,14,pi-,1,1,1
285,3953,secondary_proton,1,1,0
286,16,pi-,1,0,0
287,0,null,0,0,0
288,5,secondary_proton,1,1,1
289,3516,e+,1,1,0
290,2373,pi-,1,1,0
291,602,secondary_proton,1,0,0
292,5039,pi-,1,0,0
293,0,null,0,0,0
294,9,pi-,1,0,0
295,0,null,0,0,0
296,12,pi+,1,1,0
297,0,null,0,0,0
298,0,null,0,0,0
299,4771,secondary_proton,1,1,1
300,27,pi+,1,0,0
301,1,primary_proton,1,1,1
302,0,null,0,0,0
303,407,pi+,1,0,0
304,0,null,0,0,0
305,0,null,0,0,0
306,10,pi+,1,1,1
307,21,pi+,1,1,1
308,0,null,0,0,0
309,25,secondary_proton,1,1,1
310,1,primary_proton,1,1,1
311,1,primary_proton,1,1,1
312,8,pi+,1,1,1
313,0,null,0,0,0
314,1,primary_proton,1,1,1
315,0,null,0,0,0
316,14,pi-,1,1,1
317,11,pi-,1,0,0
318,0,null,0,0,0
319,0,null,0,0,0
320,6,pi-,1,1,0
321,23,pi-,1,1,1
322,0,null,0,0,0
323,6,pi+,1,0,0
324,2318,secondary_proton,1,1,0
325,1,primary_proton,1,1,1
326,0,null,0,0,0
327,1,primary_proton,1,1,1
328,1738,e-,1,1,1
329,0,null,0,0,0
330,1,primary_proton,1,1,1
331,5,secondary_proton,1,1,1
332,4650,e-,1,0,0
333,17,pi+,1,1,1
334,0,null,0,0,0
335,0,null,0,0,0
336,3658,secondary_proton,1,1,1
337,0,null,0,0,0
338,21,pi-,1,1,1
339,1,primary_proton,1,1,1
340,13,pi-,1,1,0
341,7,pi-,1,1,0
342,2440,e+,1,0,0
343,0,null,0,0,0
344,15,pi-,1,1,1
345,2399,secondary_proton,1,1,1
346,3275,e-,1,0,0
347,1,primary_proton,1,1,1
348,0,null,0,0,0
349,20,pi-,1,1,1
350,0,null,0,0,0
351,6,pi-,1,0,0
352,0,null,0,0,0
353,1,primary_proton,1,1,1
354,1,primary_proton,1,1,1
355,0,null,0,0,0
356,0,null,0,0,0
357,8,pi+,1,0,0
358,1,primary_proton,1,1,1
359,4722,secondary_proton,1,1,1
360,2162,secondary_proton,1,1,1
361,1,primary_proton,1,1,1
362,12,secondary_proton,1,1,1
