event,track,particle,d1,d2,d3
0,16,pi+,1,1,0
1,1,primary_proton,1,1,1
2,0,null,0,0,0
3,1,primary_proton,1,1,1
4,1,primary_proton,1,1,1
5,17,pi-,1,1,1
6,8,secondary_proton,1,1,1
7,952,pi+,1,0,0
8,5331,secondary_proton,1,1,1
9,1,primary_proton,1,1,1
10,274,secondary_proton,1,1,1
11,11,pi-,1,1,1
12,128,pi+,1,0,0
13,1,primary_proton,1,1,1
14,0,null,0,0,0
15,18,pi+,1,0,0
16,0,null,0,0,0
17,1,primary_proton,1,1,1
18,19,pi-,1,1,1
19,10,pi+,1,1,0
20,18,pi-,1,1,1
21,1614,e-,1,0,0
22,163,pi+,1,1,0
23,1705,e-,1,0,0
24,0,null,0,0,0
25,8,pi+,1,1,1
26,238,secondary_proton,1,1,1
27,1,primary_proton,1,1,1
28,2,secondary_proton,1,1,0
29,1,primary_proton,1,1,1
30,0,null,0,0,0
31,5,secondary_proton,1,1,1
32,0,null,0,0,0
33,11,secondary_proton,1,1,1
34,1,primary_proton,1,1,1
35,0,null,0,0,0
36,1,primary_proton,1,1,1
37,0,null,0,0,0
38,2938,pi-,1,1,1
39,20,pi+,1,1,1
40,1,primary_proton,1,1,1
41,0,null,0,0,0
42,6,secondary_proton,1,0,0
43,461,pi-,1,1,0
44,13,secondary_proton,1,1,1
45,6,pi-,1,1,1
46,14,pi+,1,1,1
47,2143,secondary_proton,1,1,1
48,1,primary_proton,1,1,1
49,0,null,0,0,0
50,10,secondary_proton,1,0,0
51,7,secondary_proton,1,1,1
52,1,primary_proton,1,1,1
53,21,secondary_proton,1,1,0
54,0,null,0,0,0
55,10,secondary_proton,1,1,1
56,0,null,0,0,0
57,1,primary_proton,1,1,1
58,1,primary_proton,1,1,1
59,0,null,0,0,0
60,8,pi+,1,0,0
61,0,null,0,0,0
62,15,pi-,1,1,0
63,12,pi+,1,0,0
64,0,null,0,0,0
65,5,pi-,1,0,0
66,12,pi+,1,1,1
67,0,null,0,0,0
68,0,null,0,0,0
69,5865,pi-,1,1,0
70,246,pi+,1,1,1
71,0,null,0,0,0
72,8,secondary_proton,1,1,1
73,0,null,0,0,0
74,0,null,0,0,0
75,1,primary_proton,1,1,1
76,15,pi-,1,1,1
77,2,secondary_proton,1,0,0
78,1,primary_proton,1,1,1
79,4,pi+,1,1,1
80,637,pi-,1,1,0
81,0,null,0,0,0
82,15,pi-,1,1,1
83,0,null,0,0,0
84,15,pi-,1,1,1
85,1851,e-,1,1,1
86,31,pi-,1,1,1
87,4,secondary_proton,1,1,1
88,0,null,0,0,0
89,0,null,0,0,0
90,7,secondary_proton,1,1,0
91,8,secondary_proton,1,1,0
92,0,null,0,0,0
93,31,pi-,1,0,0
94,5,secondary_proton,1,1,1
95,14,pi-,1,0,0
96,27,pi+,1,1,1
97,1,primary_proton,1,1,1
98,1,primary_proton,1,1,1
99,2029,secondary_proton,1,0,0
100,1,primary_proton,1,1,1
101,1,primary_proton,1,1,1
102,2740,secondary_proton,1,1,1
103,0,null,0,0,0
104,1,primary_proton,1,1,1
105,1,primary_proton,1,1,1
106,28,pi-,1,1,1
107,592,pi+,1,1,1
108,1,primary_proton,1,1,1
109,1,primary_proton,1,1,1
110,15,pi+,1,0,0
111,299,pi-,1,1,1
112,9,pi+,1,1,0
113,0,null,0,0,0
114,0,null,0,0,0
115,1,primary_proton,1,1,1
116,0,null,0,0,0
117,0,null,0,0,0
118,1,primary_proton,1,1,1
119,0,null,0,0,0
120,7,secondary_proton,1,1,1
121,6259,e+,1,1,1
122,1,primary_proton,1,1,1
123,12,pi+,1,1,0
124,1,primary_proton,1,1,1
125,0,null,0,0,0
126,17,pi-,1,0,0
127,0,null,0,0,0
128,0,null,0,0,0
129,5,kaon+,1,1,0
130,4243,secondary_proton,1,0,0
131,0,null,0,0,0
132,1,primary_proton,1,1,1
133,0,null,0,0,0
134,0,null,0,0,0
135,76,pi-,1,1,1
136,408,pi+,1,1,1
137,10,pi+,1,1,1
138,4,secondary_proton,1,1,1
139,2743,secondary_proton,1,1,1
140,13,pi+,1,1,0
141,0,null,0,0,0
142,23,pi-,1,1,0
143,1,primary_proton,1,1,1
144,2548,e-,1,1,0
145,0,null,0,0,0
146,15,pi+,1,1,1
147,0,null,0,0,0
148,1,primary_proton,1,1,1
149,111,secondary_proton,1,1,1
150,2014,pi-,1,0,0
151,10,pi-,1,1,1
152,4,secondary_proton,1,1,1
153,3324,e-,1,1,0
154,0,null,0,0,0
155,0,null,0,0,0
156,3288,e-,1,0,0
157,8,secondary_proton,1,1,0
158,7773,e-,1,0,0
159,761,e-,1,0,0
160,1383,pi+,1,0,0
161,1,primary_proton,1,1,1
162,8,secondary_proton,1,0,0
163,0,null,0,0,0
164,0,null,0,0,0
165,1462,secondary_proton,1,1,1
166,0,null,0,0,0
167,0,null,0,0,0
168,0,null,0,0,0
169,0,null,0,0,0
170,12,pi-,1,0,0
171,43,pi-,1,1,0
172,0,null,0,0,0
173,0,null,0,0,0
174,0,null,0,0,0
175,12,pi+,1,1,1
176,2872,e-,0,1,0
177,4,secondary_proton,1,1,1
178,1,primary_proton,1,1,1
179,1,primary_proton,1,1,1
180,1,primary_proton,1,1,1
181,13,secondary_proton,1,1,1
182,9,kaon-,1,1,0
