run,total,proton,electron,gamma,pion,muon,other
1,1473,27,58,1156,56,0,176
2,2758,36,111,2279,72,0,260
3,902,31,25,647,50,0,149
4,1470,43,50,1069,62,0,246
5,865,24,23,649,26,0,143
6,1884,29,70,1558,46,1,180
7,1382,27,63,1052,52,0,188
8,2781,23,136,2295,76,0,251
9,2201,28,100,1773,54,0,246
10,1178,34,52,820,55,1,216
Total,16894,302,688,13298,549,2,2055
Average,1689,30,68,1329,54,0,205
Per Proton,0,0,,0,0,0,0
