run,total,proton,electron,gamma,pion,muon,other
1,1443,31,54,1059,71,0,228
2,1739,30,70,1333,58,0,248
3,2170,36,92,1665,78,0,299
4,4260,39,183,3632,87,1,318
5,2253,40,88,1748,87,0,290
6,3876,48,168,3238,93,1,328
7,1695,34,56,1265,90,0,250
8,3424,30,160,2836,63,0,335
9,2947,42,130,2356,74,0,345
10,1398,29,54,1023,84,0,208
Total,25205,359,1055,20155,785,2,2849
Average,2520,35,105,2015,78,0,284
Per Proton,2,0,,2,0,0,0
