run,total,proton,electron,gamma,pion,muon,other
1,1023,27,56,762,48,0,130
2,1060,32,30,768,57,1,172
3,1596,36,86,1273,47,1,153
4,1673,31,55,1359,45,0,183
5,1009,22,43,749,50,0,145
6,1500,35,44,1130,47,1,243
7,822,18,28,597,43,0,136
8,1006,29,39,715,43,0,180
9,884,30,50,600,42,0,162
10,1269,30,54,981,46,0,158
Total,11842,290,485,8934,468,3,1662
Average,1184,29,48,893,46,0,166
