run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,168,121,2920,138,0,6,516,3869,6437,219,43,1070,16,0,1,203,1552,4678,184,36,597,7,0,0,127,951,4296,201,50,1045,17,0,0,216,1529,4435,
2,164,201,4531,139,0,13,617,5665,8259,172,52,906,13,0,0,170,1313,4494,196,18,424,3,0,0,91,732,4711,191,33,798,16,0,0,160,1198,3924,
3,185,178,3749,149,0,3,596,4860,7887,200,62,1238,16,0,0,222,1738,4902,167,47,730,9,0,1,113,1067,3537,206,59,1282,17,0,1,214,1779,4556,
4,171,114,3053,112,0,10,403,3863,6048,200,46,1218,14,0,0,173,1651,4664,185,37,627,5,0,0,112,966,4118,190,65,1095,14,1,1,169,1535,4270,
5,159,163,2657,133,1,7,480,3600,7030,191,48,668,18,0,0,142,1067,4196,189,28,325,3,0,0,89,634,3851,203,35,769,11,0,0,149,1167,4264,
6,184,131,3593,150,0,4,535,4597,6827,187,73,1149,20,0,1,215,1645,4711,165,41,666,8,0,1,104,985,3698,174,73,1355,20,0,0,215,1837,5079,
7,206,157,3513,141,0,9,625,4651,6817,191,72,1302,13,0,0,232,1810,4673,202,31,757,12,1,0,126,1129,4185,210,65,1228,17,0,1,266,1787,5505,
8,171,137,2964,132,0,1,477,3882,6667,203,47,807,11,0,0,172,1240,4741,165,32,445,7,0,0,79,728,3161,196,33,846,10,0,0,156,1241,4602,
9,167,191,4541,129,0,17,578,5623,8154,189,48,1169,17,1,0,182,1606,4882,204,36,536,9,0,0,102,887,4130,210,52,998,24,0,1,190,1475,5246,
10,158,160,3247,106,0,5,487,4163,6501,188,50,819,8,0,1,144,1210,4552,201,19,408,2,0,0,84,714,3559,195,42,829,16,0,0,150,1232,4562,

Total,1733,1553,34768,1329,1,75,5314,44773,70627,1940,541,10346,146,1,3,1855,14832,46493,1858,325,5515,65,1,2,1027,8793,39246,1976,507,10245,162,1,4,1885,14780,46443
Average,173,155,3476,132,0,7,531,4477,7062,194,54,1034,14,0,0,185,1483,4649,185,32,551,6,0,0,102,879,3924,197,50,1024,16,0,0,188,1478,4644
PerPrimary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
