run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,149,76,1391,42,0,1,272,1931,3622,191,13,304,2,0,0,115,625,3057,169,10,167,1,0,0,53,400,2932,188,17,371,10,0,0,116,702,3109,
2,164,61,1558,78,0,0,373,2234,4145,185,31,440,12,0,0,134,802,3485,196,13,271,5,0,0,79,564,3404,186,40,520,11,0,0,134,891,4153,
3,148,57,1304,56,1,4,306,1876,3620,168,20,457,8,0,0,119,772,3074,180,12,260,7,0,0,65,524,3039,198,23,495,11,0,1,127,855,3230,
4,152,74,1565,82,0,2,364,2239,3806,179,26,504,12,0,0,118,839,3879,187,20,230,4,0,1,74,516,3336,186,27,465,9,0,0,125,812,3732,
5,134,38,1305,41,0,1,273,1792,3301,168,19,393,7,0,0,114,701,3047,201,9,223,3,1,0,67,504,3097,167,27,402,7,0,0,139,742,3167,
6,169,75,1860,82,1,2,387,2576,4738,195,21,481,15,0,0,127,839,3833,203,15,241,8,0,0,89,556,3352,200,27,464,14,0,0,130,835,4166,
7,161,52,1347,52,1,1,345,1959,3698,176,21,457,6,0,0,119,779,3221,195,14,245,10,0,0,80,544,3537,209,20,480,7,0,0,154,870,3910,
8,180,43,1162,71,0,0,356,1812,4170,190,12,370,12,0,0,128,712,3418,199,15,206,5,0,0,82,507,3239,203,29,380,13,0,0,109,734,3846,
9,177,100,2284,71,0,4,429,3065,4685,201,16,497,11,1,0,172,898,3628,184,18,254,4,0,0,108,568,3017,214,26,619,9,0,1,171,1040,3928,
10,170,54,1586,46,0,2,328,2186,4405,207,27,496,12,0,0,149,891,3893,193,17,269,6,0,0,97,582,3225,211,25,514,9,1,1,161,922,4003,

Total,1604,630,15362,621,3,17,3433,21670,40190,1860,206,4399,97,1,0,1295,7858,34535,1907,143,2366,53,1,1,794,5265,32178,1962,261,4710,100,1,3,1366,8403,37244
Average,160,63,1536,62,0,1,343,2167,4019,186,20,439,9,0,0,129,785,3453,190,14,236,5,0,0,79,526,3217,196,26,471,10,0,0,136,840,3724
PerPrimary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
