run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,157,40,1593,63,0,0,297,2150,3648,204,21,483,7,0,0,118,833,3839,166,12,247,4,0,0,67,496,2585,200,18,504,10,0,0,131,863,3455,
2,160,53,1206,53,0,2,369,1843,3329,188,16,426,10,0,0,144,784,3109,177,12,225,4,0,0,71,489,2959,206,19,459,10,0,0,142,836,3571,
3,174,101,2191,86,1,0,453,3006,5425,199,35,605,16,0,0,157,1012,4753,202,15,282,5,0,0,94,598,3352,224,35,616,16,0,1,157,1049,4786,
4,155,64,1428,59,0,0,271,1977,3902,209,33,519,8,0,0,149,918,4223,176,7,221,11,0,0,72,487,2973,204,21,405,8,0,0,124,762,3627,
5,155,29,1063,65,1,1,318,1632,3556,189,19,363,7,0,0,119,697,3503,195,18,233,0,0,0,85,531,3213,183,20,383,10,0,0,115,711,3655,
6,144,47,1045,61,0,1,334,1632,3945,168,26,492,12,0,0,140,838,3175,189,16,272,8,0,0,77,562,3297,202,35,488,10,0,0,139,874,4080,
7,175,111,2099,69,0,4,394,2852,5184,194,21,573,7,0,1,144,940,3688,162,12,286,6,0,0,76,542,2985,186,23,592,11,0,0,164,976,3805,
8,159,80,2078,77,0,2,375,2771,4497,204,24,576,12,0,0,180,996,3731,177,15,274,6,0,0,88,560,3234,207,21,509,15,0,0,154,906,4002,
9,159,53,1340,57,0,2,338,1949,4094,198,28,501,12,0,0,146,885,4213,188,14,191,3,0,0,76,472,3313,199,25,459,13,0,0,115,811,3842,
10,163,60,1561,96,0,3,421,2304,4721,194,16,518,5,1,1,172,907,3386,176,15,264,5,0,0,97,557,3407,205,20,535,19,0,0,168,947,4150,

Total,1601,638,15604,686,2,15,3570,22116,42301,1947,239,5056,96,1,2,1469,8810,37620,1808,136,2495,52,0,0,803,5294,31318,2016,237,4950,122,0,1,1409,8735,38973
Average,160,63,1560,68,0,1,357,2211,4230,194,23,505,9,0,0,146,881,3762,180,13,249,5,0,0,80,529,3131,201,23,495,12,0,0,140,873,3897
PerPrimary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
