event,track,particle,d1,d2,d3
0,9,pi+,1,0,0
1,0,null,0,0,0
2,0,null,0,0,0
3,1,primary_proton,1,1,0
4,0,null,0,0,0
5,0,null,0,0,0
6,6,pi+,1,1,0
7,0,null,0,0,0
8,7,secondary_proton,1,1,1
9,0,null,0,0,0
10,0,null,0,0,0
11,1,primary_proton,1,1,1
12,1,primary_proton,1,1,1
13,0,null,0,0,0
14,7,secondary_proton,1,1,1
15,1,primary_proton,1,1,1
16,0,null,0,0,0
17,182,pi+,1,0,0
18,0,null,0,0,0
19,0,null,0,0,0
20,17,secondary_proton,1,1,1
21,0,null,0,0,0
22,1,primary_proton,1,1,1
23,0,null,0,0,0
24,0,null,0,0,0
25,0,null,0,0,0
26,0,null,0,0,0
27,1,primary_proton,1,1,1
28,0,null,0,0,0
29,0,null,0,0,0
30,997,pi+,1,0,0
31,0,null,0,0,0
32,0,null,0,0,0
33,12,pi-,1,1,1
34,36,secondary_proton,1,0,0
35,0,null,0,0,0
36,0,null,0,0,0
37,1,primary_proton,1,1,1
38,0,null,0,0,0
39,0,null,0,0,0
40,0,null,0,0,0
41,0,null,0,0,0
42,0,null,0,0,0
43,0,null,0,0,0
44,0,null,0,0,0
45,0,null,0,0,0
46,0,null,0,0,0
47,0,null,0,0,0
48,0,null,0,0,0
49,1,primary_proton,1,1,1
50,0,null,0,0,0
51,0,null,0,0,0
52,0,null,0,0,0
53,0,null,0,0,0
54,30,pi-,1,0,0
55,6,secondary_proton,1,0,0
56,0,null,0,0,0
57,0,null,0,0,0
58,0,null,0,0,0
59,0,null,0,0,0
60,0,null,0,0,0
61,21,pi-,1,1,0
62,0,null,0,0,0
63,0,null,0,0,0
64,0,null,0,0,0
65,439,pi+,1,1,0
66,1,primary_proton,1,1,1
67,0,null,0,0,0
68,856,secondary_proton,1,0,0
69,230,secondary_proton,1,0,0
70,0,null,0,0,0
71,1,primary_proton,1,1,1
72,0,null,0,0,0
73,0,null,0,0,0
74,0,null,0,0,0
75,0,null,0,0,0
76,0,null,0,0,0
77,0,null,0,0,0
78,0,null,0,0,0
79,0,null,0,0,0
80,12,secondary_proton,1,1,1
81,0,null,0,0,0
82,0,null,0,0,0
83,12,pi-,1,1,1
84,0,null,0,0,0
85,1,primary_proton,1,1,1
86,0,null,0,0,0
87,1,primary_proton,1,1,1
88,1,primary_proton,1,1,1
89,0,null,0,0,0
90,10,secondary_proton,1,0,0
91,0,null,0,0,0
92,0,null,0,0,0
93,0,null,0,0,0
