run,total,proton,electron,gamma,pion,muon,other
1,1217,95,22,766,48,0,286
2,2400,92,66,1679,84,0,479
3,1642,86,35,1069,69,0,383
4,2151,100,57,1468,88,0,438
5,2798,96,95,2062,88,0,457
6,2306,82,73,1653,70,0,428
7,2680,102,89,1973,79,0,437
8,1970,93,48,1451,46,0,332
9,1796,91,45,1218,70,1,371
10,2371,78,58,1776,59,0,400
Total,21331,915,588,15115,701,1,4011
Average,2133,91,58,1511,70,0,401
Per Proton,2,0,,1,0,0,0
