run,total,proton,electron,gamma,pion,muon,other
1,2443,101,75,1780,75,0,412
2,2147,120,52,1464,71,0,440
3,1997,79,55,1481,57,0,325
4,1597,76,51,1154,51,0,265
5,1847,86,47,1243,95,0,376
6,2030,118,27,1436,71,0,378
7,1848,93,50,1280,54,0,371
8,2348,93,59,1745,60,1,390
9,2556,95,83,1918,57,0,403
10,2396,89,68,1765,72,0,402
Total,21209,950,567,15266,663,1,3762
Average,2120,95,56,1526,66,0,376
Per Proton,2,0,,1,0,0,0
