run,total,proton,electron,gamma,pion,muon,other
1,1452,68,40,1013,46,0,285
2,1578,75,41,1034,61,1,366
3,652,54,7,303,36,0,252
4,1158,54,33,783,53,1,234
5,1850,74,43,1297,56,0,380
6,1237,57,26,811,47,0,296
7,1094,58,23,666,41,1,305
8,1038,67,16,631,50,0,274
9,1265,56,17,905,44,0,243
10,1186,56,30,792,42,0,266
Total,12510,619,276,8235,476,3,2901
Average,1251,61,27,823,47,0,290
Per Proton,1,0,,0,0,0,0
