run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,152,26,476,27,0,0,302,983,2222,177,6,218,6,0,0,98,505,2840,180,5,111,4,0,1,59,360,2688,198,13,243,6,0,0,112,572,3251,
2,146,28,650,37,0,0,273,1134,2675,198,11,188,6,0,0,112,515,3038,200,6,97,4,0,0,50,357,2912,183,8,186,4,2,0,105,488,2936,
3,160,18,478,40,0,0,244,940,2858,159,6,236,4,0,0,116,521,2579,193,6,118,3,0,0,77,397,2844,177,12,213,8,0,0,124,534,2666,
4,140,18,442,35,0,0,293,928,2778,220,11,212,8,0,0,117,568,3490,183,7,103,6,0,0,72,371,3095,212,5,203,4,0,0,110,534,3016,
5,124,15,322,39,0,1,242,743,2405,203,11,205,8,0,0,90,517,3199,204,10,110,0,0,0,69,393,3234,211,10,173,4,0,0,125,523,3177,
6,142,21,523,30,0,0,244,960,2753,179,13,279,5,0,0,72,548,3015,177,2,113,4,1,0,51,348,2896,195,12,194,9,0,0,98,508,3227,
7,163,40,887,42,0,0,303,1435,3214,188,9,216,8,0,0,145,566,2998,200,7,139,3,0,0,73,422,3051,212,16,270,10,0,0,168,676,3865,
8,148,31,706,43,0,1,269,1198,3269,195,10,183,4,0,0,121,513,2925,207,5,103,4,0,1,71,391,3304,172,9,168,7,0,0,107,463,2713,
9,149,24,526,35,0,2,389,1125,3080,204,13,331,13,0,0,132,693,3448,184,3,128,3,0,0,70,388,2803,187,6,224,6,0,0,121,544,3187,
10,146,29,689,24,0,0,196,1084,2666,181,8,206,5,0,0,108,508,2734,213,9,135,1,0,0,57,415,3249,194,12,201,5,0,0,86,498,2925,

Total,1470,250,5699,352,0,4,2755,10530,27920,1904,98,2274,67,0,0,1111,5454,30266,1941,60,1157,32,1,2,649,3842,30076,1941,103,2075,63,2,0,1156,5340,30963
Average,147,25,569,35,0,0,275,1053,2792,190,9,227,6,0,0,111,545,3026,194,6,115,3,0,0,64,384,3007,194,10,207,6,0,0,115,534,3096
PerPrimary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
