run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons
1,77,61,1342,34,0,2,331,1847,3586,77
61,61
36,1342
556,34
16,0
0,2
0,331
119,1847
788,3586
1908
2,93,58,1464,59,0,4,345,2023,3516,93
67,58
51,1464
633,59
27,0
0,4
2,345
118,2023
898,3516
2817
3,90,77,1818,71,0,4,418,2478,4114,90
70,77
53,1818
911,71
43,0
0,4
3,418
147,2478
1227,4114
2641
4,99,55,2012,79,0,2,443,2690,3575,99
59,55
35,2012
829,79
43,0
0,2
1,443
131,2690
1098,3575
2582
5,76,42,1104,59,1,3,314,1599,2789,76
62,42
16,1104
490,59
36,1
1,3
2,314
104,1599
711,2789
1707
6,92,41,996,64,0,1,325,1519,2889,92
68,41
27,996
404,64
30,0
0,1
1,325
120,1519
650,2889
1820
7,73,45,1393,60,1,2,344,1918,2666,73
58,45
23,1393
533,60
36,1
1,2
1,344
118,1918
770,2666
2207
8,77,17,629,42,0,2,317,1084,1700,77
58,17
8,629
207,42
25,0
0,2
2,317
84,1084
384,1700
1355
9,83,55,1257,65,0,3,384,1847,3605,83
63,55
29,1257
470,65
28,0
0,3
1,384
117,1847
708,3605
1868
10,84,37,925,52,0,4,316,1418,2818,84
66,37
14,925
342,52
40,0
0,4
1,316
99,1418
562,2818
1871
