run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons
1,86,48,1280,64,0,1,367,1846,2717,86
56,48
29,1280
529,64
32,0
0,1
1,367
113,1846
760,2717
1695
2,83,97,1917,64,0,0,410,2571,3915,83
59,97
54,1917
796,64
42,0
0,0
0,410
121,2571
1072,3915
2428
3,89,52,1214,70,0,0,391,1816,3413,89
70,52
31,1214
459,70
45,0
0,0
0,391
121,1816
726,3413
2406
4,71,39,1055,64,0,4,304,1537,2859,71
54,39
24,1055
448,64
40,0
0,4
3,304
99,1537
668,2859
1979
5,76,28,940,59,0,2,272,1377,2612,76
66,28
20,940
364,59
40,0
0,2
1,272
90,1377
581,2612
1809
6,84,51,1271,57,0,0,298,1761,3003,84
67,51
30,1271
570,57
33,0
0,0
0,298
101,1761
801,3003
2343
7,77,55,1352,60,1,2,400,1947,2763,77
57,55
42,1352
553,60
36,1
1,2
0,400
135,1947
824,2763
2128
