run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,177,132,3011,91,0,1,431,3843,6576,168,38,712,15,0,0,151,1084,3835,194,27,374,5,0,0,89,689,3741,185,39,685,13,0,0,160,1082,4130,
2,165,205,4250,96,0,8,586,5310,7341,228,52,905,15,0,0,238,1438,4646,183,23,491,9,1,0,127,834,3700,183,54,919,15,0,0,205,1376,4687,
3,152,102,2061,89,0,9,338,2751,5106,189,24,589,14,0,0,120,936,3775,186,18,266,5,0,0,69,544,3191,211,28,459,7,0,2,99,806,3650,
4,168,127,2959,122,0,3,515,3894,6207,167,54,952,17,0,0,228,1418,3966,179,29,478,5,1,1,126,819,3572,173,36,967,19,0,0,211,1406,3648,
5,177,82,2444,101,0,3,408,3215,4698,179,33,759,18,0,0,165,1154,3703,179,28,419,10,0,0,100,736,3472,196,50,920,11,0,0,188,1365,4732,
6,144,89,1721,100,0,1,346,2401,4779,194,21,548,11,0,0,143,917,3690,189,23,289,6,0,0,72,579,3646,190,30,612,11,0,0,130,973,3745,
7,177,103,2397,116,1,7,547,3348,5689,209,49,1076,18,0,1,209,1562,4726,183,32,520,8,0,0,130,873,3612,199,40,860,16,0,0,199,1314,4184,
8,190,79,2202,99,0,4,450,3024,5359,206,33,583,15,0,0,160,997,4101,185,21,308,5,0,0,90,609,3609,212,33,665,14,1,0,170,1095,4274,
9,147,72,1893,83,0,3,332,2530,4836,189,32,717,12,0,0,138,1088,4045,202,25,301,6,1,0,68,603,3755,164,16,556,5,0,0,124,865,2912,
10,159,110,2812,89,0,3,430,3603,5519,184,48,692,13,0,0,147,1084,4683,179,18,344,8,0,0,93,642,3414,193,37,631,8,0,1,147,1017,4082,

Total,1656,1101,25750,986,1,42,4383,33919,56110,1913,384,7533,148,0,1,1699,11678,41170,1859,244,3790,67,3,1,964,6928,35712,1906,363,7274,119,1,3,1633,11299,40044
Average,165,110,2575,98,0,4,438,3391,5611,191,38,753,14,0,0,169,1167,4117,185,24,379,6,0,0,96,692,3571,190,36,727,11,0,0,163,1129,4004
PerPrimary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
