run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,3547,12767,396230,10855,5923,15,56,4402,4971,465171,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,3430,12278,383537,10712,5841,9,37,4293,4595,444211,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,3546,12628,394733,10866,5837,6,38,4349,4811,465321,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,3496,12269,383174,10590,5716,4,48,4187,4658,444978,0
