run,total,proton,electron,gamma,pion,muon,other
1,9260,112,333,7759,188,0,868
2,18150,188,658,15743,296,2,1263
3,14066,142,479,12212,225,0,1008
4,11372,163,456,9428,295,1,1029
5,16498,151,641,14331,222,0,1153
6,10717,126,384,9155,208,0,844
7,9815,115,376,8515,131,1,677
8,10196,118,362,8678,198,0,840
9,13371,150,485,11468,222,0,1046
10,16769,140,618,14503,271,1,1236
Total,130214,1405,4792,111792,2256,5,9964
Average,13021,140,479,11179,225,0,996
Per Proton,13,0,,11,0,0,0
