run,total,proton,electron,gamma,pion,muon,other
1,3111,101,84,2468,86,0,372
2,4235,109,131,3290,123,0,582
3,3771,111,116,2986,97,0,461
4,3127,97,107,2374,98,0,451
5,3989,114,144,3108,118,1,504
6,2935,116,78,2257,87,0,397
7,3711,108,134,2931,98,0,440
8,3997,110,143,3112,112,0,520
9,4540,127,194,3413,129,0,677
10,4334,104,140,3400,99,0,591
Total,37750,1097,1271,29339,1047,1,4995
Average,3775,109,127,2933,104,0,499
Per Proton,3,0,,2,0,0,0
