run,total,proton,electron,gamma,pion,muon,other
1,4376,117,161,3425,117,0,556
2,4971,105,165,4026,104,0,571
3,3417,93,110,2765,71,0,378
4,4524,110,127,3847,80,0,360
5,5617,123,184,4532,135,0,643
6,4792,125,134,3896,123,0,514
7,3671,101,87,2978,91,0,414
8,4885,115,190,3885,122,0,573
9,4159,114,169,3241,114,1,520
10,5285,119,181,4293,135,1,556
Total,45697,1122,1508,36888,1092,2,5085
Average,4569,112,150,3688,109,0,508
Per Proton,4,0,,3,0,0,0
