run,total,proton,electron,gamma,pion,muon,other
1,13478,177,438,11447,278,0,1138
2,12393,133,434,10548,255,0,1023
3,12682,140,427,10869,237,0,1009
4,9878,101,351,8522,176,0,728
5,18619,140,721,16218,279,0,1261
6,13967,136,440,12094,263,1,1033
7,16429,161,502,14438,213,0,1115
8,17932,168,767,15077,330,1,1589
9,13176,136,412,11332,238,2,1056
10,14576,146,511,12496,227,1,1195
Total,143130,1438,5003,123041,2496,5,11147
Average,14313,143,500,12304,249,0,1114
Per Proton,14,0,,12,0,0,1
