run,total,proton,electron,gamma,pion,muon,other
1,4422,98,190,3497,119,0,518
2,6921,119,245,5784,155,0,618
3,5331,99,166,4449,96,1,520
4,7323,131,251,6071,172,1,697
5,3518,121,113,2586,135,0,563
6,4538,126,178,3570,144,0,520
7,7762,124,299,6459,160,1,719
8,4755,121,161,3777,125,0,571
9,5641,112,184,4597,148,0,600
10,6970,126,231,5750,166,1,696
Total,57181,1177,2018,46540,1420,4,6022
Average,5718,117,201,4654,142,0,602
Per Proton,5,0,,4,0,0,0
