run,total,proton,electron,gamma,pion,muon,other
1,1143,102,56,766,33,0,186
2,1557,108,68,1058,52,0,271
3,1328,106,70,966,32,0,154
4,1715,123,75,1183,49,0,285
5,1765,114,70,1258,44,0,279
6,1328,105,46,899,41,0,237
7,1421,83,58,1046,28,0,206
8,1480,131,74,968,41,0,266
9,1614,129,73,1080,58,0,274
10,2329,129,102,1627,85,0,386
Total,15680,1130,692,10851,463,0,2544
Average,1568,113,69,1085,46,0,254
Per Proton,1,0,,1,0,0,0
