run,total,proton,electron,gamma,pion,muon,other
1,1105,57,24,706,35,1,282
2,1282,66,39,818,35,0,324
3,1337,66,36,876,53,0,306
4,1000,59,37,596,41,0,267
5,991,44,36,617,28,0,266
6,1174,48,25,810,34,0,257
7,1477,40,39,1085,41,0,272
8,1540,76,53,966,56,0,389
9,1541,58,36,1008,53,0,386
10,1448,56,37,1025,45,0,285
Total,12895,570,362,8507,421,1,3034
Average,1289,57,36,850,42,0,303
Per Proton,1,0,,0,0,0,0
