run,total,proton,electron,gamma,pion,muon,other
1,585,28,20,369,24,0,144
2,289,22,3,147,17,0,100
3,436,30,8,283,16,0,99
4,506,30,15,319,21,0,121
5,318,24,2,145,17,0,130
6,948,43,30,668,29,0,178
7,590,32,5,402,21,0,130
8,495,24,12,320,22,0,117
9,514,12,14,341,16,0,131
10,281,25,3,125,14,0,114
Total,4962,270,112,3119,197,0,1264
Average,496,27,11,311,19,0,126
Per Proton,0,0,,0,0,0,0
