run,total,proton,electron,gamma,pion,muon,other
1,12114,134,455,10376,195,0,954
2,19893,142,725,17387,271,0,1368
3,14094,171,593,11867,270,1,1192
4,13388,139,527,11512,207,0,1003
5,14973,147,581,12816,275,0,1154
6,9863,135,384,8365,198,0,781
7,13208,118,471,11485,214,1,919
8,14541,165,515,12307,262,0,1292
9,12147,129,416,10501,215,0,886
10,13563,154,431,11725,228,1,1024
Total,137784,1434,5098,118341,2335,3,10573
Average,13778,143,509,11834,233,0,1057
Per Proton,13,0,,11,0,0,1
