run,total,proton,electron,gamma,pion,muon,other
1,13571,130,504,11840,170,1,926
2,17384,193,611,14805,310,0,1465
3,13243,137,457,11417,225,0,1007
4,16009,183,550,13875,285,0,1116
5,14708,154,552,12686,267,1,1048
6,11867,122,378,10241,223,0,903
7,12702,127,455,10856,237,0,1027
8,13061,111,496,11325,205,0,924
9,14315,142,529,12334,233,2,1075
10,16146,140,572,14086,226,0,1122
Total,143006,1439,5104,123465,2381,4,10613
Average,14300,143,510,12346,238,0,1061
Per Proton,14,0,,12,0,0,1
