run,total,proton,electron,gamma,pion,muon,other
1,6296,115,189,5225,136,1,630
2,4047,96,118,3329,88,0,416
3,4674,148,159,3603,160,1,603
4,5869,137,220,4634,166,0,712
5,3394,117,118,2618,108,0,433
6,4876,125,153,3897,130,1,570
7,4512,110,119,3588,109,1,585
8,4301,88,136,3451,104,0,522
9,3934,110,135,3165,105,0,419
10,4718,126,169,3656,137,0,630
Total,46621,1172,1516,37166,1243,4,5520
Average,4662,117,151,3716,124,0,552
Per Proton,4,0,,3,0,0,0
