run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,178,121,2570,123,0,6,535,3533,6271,193,19,733,8,0,1,179,1133,3560,185,13,353,6,0,0,95,652,3512,197,36,721,6,0,0,158,1118,4178,
2,141,120,2155,115,0,2,472,3005,4671,186,32,710,10,0,0,164,1102,3752,215,22,355,5,0,0,88,685,3612,215,26,619,9,0,1,186,1056,4307,
3,195,142,3520,102,0,6,594,4559,7106,198,40,885,16,0,0,188,1327,4574,181,32,480,6,0,0,112,811,4241,191,63,963,16,0,0,188,1421,5389,
4,169,134,2753,101,0,3,460,3620,5852,190,41,786,9,0,0,165,1191,4564,205,18,428,4,0,0,118,773,3569,196,44,944,17,0,0,180,1381,4213,
5,174,101,2483,142,0,3,506,3409,5499,212,61,878,16,0,0,198,1365,5194,180,30,456,6,0,0,106,778,3567,188,41,872,9,1,0,169,1280,4611,
6,183,143,3127,134,0,8,518,4113,7275,211,28,748,16,0,0,208,1211,4514,188,24,392,8,0,0,121,733,4123,197,34,790,20,0,0,181,1222,4591,
7,174,149,2995,141,1,5,507,3972,6332,208,45,1017,16,0,0,182,1468,4524,206,32,486,6,0,0,121,851,3933,195,50,974,14,0,1,192,1426,5007,
8,147,78,1965,81,0,2,341,2614,4355,171,36,601,11,0,0,134,953,3639,195,13,318,5,0,0,68,599,3217,213,28,579,15,0,1,140,976,3955,
9,169,97,2157,84,1,5,418,2931,5139,206,44,785,14,0,0,157,1206,4523,176,20,403,4,0,0,101,704,3636,192,46,791,10,0,0,165,1204,4167,
10,173,111,2495,99,0,2,374,3254,5498,203,32,656,17,0,0,188,1096,4058,186,20,401,4,0,0,92,703,3512,212,44,812,13,0,1,153,1235,4714,

Total,1703,1196,26220,1122,2,42,4725,35010,57998,1978,378,7799,133,0,1,1763,12052,42902,1917,224,4072,54,0,0,1022,7289,36922,1996,412,8065,129,1,4,1712,12319,45132
Average,170,119,2622,112,0,4,472,3501,5799,197,37,779,13,0,0,176,1205,4290,191,22,407,5,0,0,102,728,3692,199,41,806,12,0,0,171,1231,4513
PerPrimary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
