run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,151,79,1885,91,0,7,405,2618,4558,186,24,465,14,1,0,133,823,3529,181,14,243,5,0,1,87,531,3077,190,20,492,9,0,0,128,839,3309,
2,153,141,2889,102,1,3,500,3789,6225,171,35,688,8,0,0,157,1059,3934,188,18,334,3,1,0,86,630,3373,166,39,726,10,0,0,173,1114,3720,
3,140,94,2045,123,0,3,459,2864,4788,203,62,889,26,2,0,189,1371,4995,162,24,476,8,0,0,105,775,3220,209,31,730,18,0,0,149,1137,4353,
4,170,101,2537,102,0,3,525,3438,5633,210,46,956,23,0,0,231,1466,5137,210,21,447,9,0,0,115,802,3885,190,43,941,15,0,0,200,1389,4311,
5,149,113,2744,108,0,3,479,3596,6041,178,53,941,12,0,0,185,1369,4256,186,39,439,7,0,0,91,762,3469,215,44,797,17,0,0,176,1249,4632,
6,174,170,3589,118,0,5,605,4661,7585,195,37,918,13,0,1,218,1382,3963,179,35,474,7,0,1,112,808,3663,209,38,1014,15,0,0,206,1482,5121,
7,172,118,2702,110,0,4,462,3568,5977,197,35,640,14,0,0,173,1059,3974,182,23,322,5,0,0,109,641,3473,222,35,674,9,0,0,147,1087,4131,
8,170,113,2523,108,0,9,416,3339,5362,182,38,748,12,0,0,181,1161,3880,182,27,396,4,0,0,79,688,3233,209,27,643,7,0,1,151,1038,4485,
9,155,89,1893,86,0,3,398,2624,4878,180,33,569,14,0,1,142,939,3541,203,21,317,4,0,0,69,614,3242,212,31,554,13,1,0,136,947,3901,
10,205,91,2099,100,0,6,444,2945,5472,192,34,676,12,0,0,183,1097,4097,197,18,411,5,1,0,89,721,3281,180,23,659,11,0,0,161,1034,3543,

Total,1639,1109,24906,1048,1,46,4693,33442,56519,1894,397,7490,148,3,2,1792,11726,41306,1870,240,3859,57,2,2,942,6972,33916,2002,331,7230,124,1,1,1627,11316,41506
Average,163,110,2490,104,0,4,469,3344,5651,189,39,749,14,0,0,179,1172,4130,187,24,385,5,0,0,94,697,3391,200,33,723,12,0,0,162,1131,4150
PerPrimary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
