event,track,particle,d1,d2,d3
70,0,null,0,0,0
71,0,null,0,0,0
72,0,null,0,0,0
73,0,null,0,0,0
74,2203,e-,1,1,1
75,0,null,0,0,0
76,915,secondary_proton,1,1,0
77,18,pi+,1,1,1
78,2102,pi+,1,1,0
79,0,null,0,0,0
80,0,null,0,0,0
81,151,secondary_proton,1,0,0
82,1,primary_proton,1,1,1
83,1,primary_proton,1,1,1
84,1,primary_proton,1,1,1
85,0,null,0,0,0
86,764,e-,1,0,1
87,1152,e+,1,1,0
88,557,pi-,1,1,1
89,0,null,0,0,0
90,0,null,0,0,0
91,0,null,0,0,0
92,1775,e-,1,1,0
93,1024,secondary_proton,1,1,1
94,12,secondary_proton,1,1,1
95,8,pi-,1,1,0
96,0,null,0,0,0
97,0,null,0,0,0
98,12,pi+,1,0,0
99,0,null,0,0,0
100,0,null,0,0,0
101,24,secondary_proton,1,1,1
102,18,secondary_proton,1,1,1
103,1,primary_proton,1,1,1
104,0,null,0,0,0
105,19,secondary_proton,1,0,0
106,3,secondary_proton,1,1,0
107,1,primary_proton,1,1,1
108,0,null,0,0,0
109,0,null,0,0,0
110,266,secondary_proton,1,1,1
111,0,null,0,0,0
112,0,null,0,0,0
113,10,secondary_proton,1,1,1
114,0,null,0,0,0
115,0,null,0,0,0
116,689,secondary_proton,1,0,0
117,0,null,0,0,0
118,9,secondary_proton,1,1,1
119,0,null,0,0,0
120,0,null,0,0,0
121,16,pi-,1,1,0
122,6,pi+,1,1,1
123,1,primary_proton,1,1,1
124,0,null,0,0,0
125,0,null,0,0,0
126,293,secondary_proton,1,0,0
127,0,null,0,0,0
128,1,primary_proton,1,1,1
129,0,null,0,0,0
130,2260,e-,1,0,0
131,0,null,0,0,0
132,1,primary_proton,1,1,1
133,26,pi+,1,1,0
134,0,null,0,0,0
135,0,null,0,0,0
136,0,null,0,0,0
137,0,null,0,0,0
138,0,null,0,0,0
139,2185,e-,1,0,0
210,13,secondary_proton,1,1,1
211,1,primary_proton,1,1,1
212,1,primary_proton,1,1,1
213,0,null,0,0,0
214,1,primary_proton,1,1,1
215,7,pi-,1,0,0
216,9,secondary_proton,1,1,1
217,1,primary_proton,1,1,1
218,0,null,0,0,0
219,0,null,0,0,0
220,0,null,0,0,0
221,0,null,0,0,0
222,0,null,0,0,0
223,1,primary_proton,1,1,1
224,577,secondary_proton,1,0,0
225,26,secondary_proton,1,0,0
226,1639,e+,1,1,1
227,0,null,0,0,0
228,0,null,0,0,0
229,7,secondary_proton,1,1,1
230,0,null,0,0,0
231,0,null,0,0,0
232,0,null,0,0,0
233,0,null,0,0,0
234,0,null,0,0,0
235,0,null,0,0,0
236,0,null,0,0,0
237,0,null,0,0,0
238,0,null,0,0,0
239,6,secondary_proton,1,1,1
240,7,pi+,1,1,1
241,0,null,0,0,0
242,0,null,0,0,0
243,11,secondary_proton,1,1,0
244,1,primary_proton,1,1,1
245,29,secondary_proton,1,1,1
246,0,null,0,0,0
247,0,null,0,0,0
248,0,null,0,0,0
249,0,null,0,0,0
250,8,pi-,1,0,0
251,8,pi-,1,1,1
252,1287,e-,1,0,0
253,14,pi-,1,1,0
254,0,null,0,0,0
255,0,null,0,0,0
256,0,null,0,0,0
257,14,pi-,1,1,1
258,14,secondary_proton,1,1,1
259,0,null,0,0,0
260,0,null,0,0,0
261,0,null,0,0,0
262,0,null,0,0,0
263,12,secondary_proton,1,1,1
264,418,secondary_proton,1,0,0
265,7,secondary_proton,1,1,1
266,2,secondary_proton,1,1,1
267,0,null,0,0,0
268,0,null,0,0,0
269,9,secondary_proton,1,1,0
270,0,null,0,0,0
271,0,null,0,0,0
272,68,secondary_proton,1,1,1
273,5,secondary_proton,1,1,1
274,0,null,0,0,0
275,0,null,0,0,0
276,0,null,0,0,0
277,974,e-,1,0,0
278,0,null,0,0,0
279,1,primary_proton,1,1,1
350,0,null,0,0,0
351,12,secondary_proton,1,1,1
352,1,primary_proton,1,1,1
353,0,null,0,0,0
354,0,null,0,0,0
355,0,null,0,0,0
356,11,pi+,1,1,1
