run,total,proton,electron,gamma,pion,muon,other
1,13889,120,471,12072,219,0,1007
2,20239,165,733,17589,277,1,1474
3,11082,151,280,9347,235,0,1069
4,8451,134,249,6983,208,0,877
5,13800,151,463,11862,244,2,1078
6,7364,128,227,6062,211,0,736
7,13774,157,545,11511,277,0,1284
8,10582,131,374,8870,241,2,964
9,13615,142,456,11624,230,0,1163
10,15081,145,512,13078,217,0,1129
Total,127877,1424,4310,108998,2359,5,10781
Average,12787,142,431,10899,235,0,1078
Per Proton,12,0,,10,0,0,1
