run,total,proton,electron,gamma,pion,muon,other
1,9304,106,337,7981,141,0,739
2,7187,108,248,5988,130,0,713
3,11247,116,381,9641,217,0,892
4,11751,142,445,9965,224,0,975
5,14597,177,475,12394,315,0,1236
6,15214,158,541,12930,297,1,1287
7,9227,122,254,7935,192,0,724
8,12732,128,428,10865,234,1,1076
9,11873,155,349,10226,229,0,914
10,16904,157,588,14481,306,0,1372
Total,120036,1369,4046,102406,2285,2,9928
Average,12003,136,404,10240,228,0,992
Per Proton,12,0,,10,0,0,0
