run,total,proton,electron,gamma,pion,muon,other
1,8272,108,269,6803,209,1,882
2,11843,128,394,9958,252,2,1109
3,9453,148,367,7696,225,1,1016
4,12499,139,352,10761,271,1,975
5,10957,141,378,9121,242,0,1075
6,13104,138,502,10933,253,0,1278
7,10090,160,300,8337,233,0,1060
8,7204,149,199,5730,196,0,930
9,11071,140,328,9180,295,0,1128
10,10495,151,312,8581,253,0,1198
Total,104988,1402,3401,87100,2429,5,10651
Average,10498,140,340,8710,242,0,1065
Per Proton,10,0,,8,0,0,1
