run,total,proton,electron,gamma,pion,muon,other
1,6942,125,247,5461,197,0,912
2,7447,123,226,5888,226,0,984
3,9937,108,340,8198,249,0,1042
4,5595,115,157,4299,210,0,814
5,6169,89,222,4856,189,0,813
6,6977,97,180,5767,191,0,742
7,10469,148,309,8541,275,0,1196
8,3941,102,123,3013,139,1,563
9,5559,109,204,4300,173,0,773
10,6463,127,158,5037,200,0,941
Total,69499,1143,2166,55360,2049,1,8780
Average,6949,114,216,5536,204,0,878
Per Proton,6,0,,5,0,0,0
