run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,2360,14197,457663,12050,6690,9,55,4901,5420,522563,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,2368,14360,458600,11987,6543,6,55,4906,5389,523858,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,2300,14070,459010,12260,6938,11,51,4923,5271,534820,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,2378,14129,452936,12097,6681,9,52,4857,5263,522734,0
