event,track,particle,d1,d2,d3
1226,0,null,0,0,0
1227,0,null,0,0,0
1228,0,null,0,0,0
1229,1,primary_proton,1,1,1
1230,0,null,0,0,0
1231,0,null,0,0,0
1232,0,null,0,0,0
1233,0,null,0,0,0
1234,12,secondary_proton,1,0,0
1235,0,null,0,0,0
1236,1,primary_proton,1,1,1
1237,0,null,0,0,0
1238,1,primary_proton,1,1,1
1239,1,primary_proton,1,1,1
1240,0,null,0,0,0
1241,0,null,0,0,0
1242,0,null,0,0,0
1243,0,null,0,0,0
1244,1,primary_proton,1,1,1
1245,0,null,0,0,0
1246,0,null,0,0,0
1247,0,null,0,0,0
1248,0,null,0,0,0
1249,0,null,0,0,0
1250,1,primary_proton,1,1,1
1251,0,null,0,0,0
1252,1,primary_proton,1,1,1
1253,231,e-,1,0,0
1254,1,primary_proton,1,1,1
1255,0,null,0,0,0
1256,1,primary_proton,1,1,1
1257,870,e-,1,1,1
1258,0,null,0,0,0
1259,0,null,0,0,0
1260,0,null,0,0,0
1261,5,secondary_proton,1,1,1
1262,0,null,0,0,0
1263,0,null,0,0,0
1264,1,primary_proton,1,1,1
1265,187,e-,1,0,0
1266,0,null,0,0,0
1267,1,primary_proton,1,1,1
1268,5,pi+,1,1,0
1269,0,null,0,0,0
1270,1,primary_proton,1,1,1
1271,0,null,0,0,0
1272,0,null,0,0,0
1273,4,secondary_proton,1,1,0
1274,0,null,0,0,0
1275,0,null,0,0,0
1276,0,null,0,0,0
1277,1,primary_proton,1,1,1
1278,10,secondary_proton,1,0,0
1279,0,null,0,0,0
1280,1,primary_proton,1,1,1
1281,0,null,0,0,0
1282,1,primary_proton,1,1,1
1283,11,secondary_proton,1,0,0
1284,0,null,0,0,0
1285,0,null,0,0,0
1286,0,null,0,0,0
1287,0,null,0,0,0
1288,1,primary_proton,1,1,1
1289,0,null,0,0,0
1290,0,null,0,0,0
1291,11,secondary_proton,1,1,0
1292,0,null,0,0,0
1293,0,null,0,0,0
1294,0,null,0,0,0
1295,0,null,0,0,0
1296,0,null,0,0,0
1297,0,null,0,0,0
1298,4,secondary_proton,1,1,1
1299,0,null,0,0,0
1300,0,null,0,0,0
1301,0,null,0,0,0
1302,0,null,0,0,0
1303,0,null,0,0,0
1304,11,secondary_proton,1,1,0
1305,0,null,0,0,0
1306,0,null,0,0,0
1307,0,null,0,0,0
1308,1,primary_proton,1,1,1
1309,0,null,0,0,0
1310,11,secondary_proton,1,0,0
1311,4,secondary_proton,1,1,0
1312,0,null,0,0,0
1313,0,null,0,0,0
1314,0,null,0,0,0
1315,0,null,0,0,0
1316,0,null,0,0,0
1317,0,null,0,0,0
1318,0,null,0,0,0
1319,0,null,0,0,0
1320,0,null,0,0,0
1321,1,primary_proton,1,1,1
1322,0,null,0,0,0
1323,8,secondary_proton,1,1,1
1324,1,primary_proton,1,1,1
1325,1,primary_proton,1,1,1
1326,0,null,0,0,0
1327,1,primary_proton,1,1,1
1328,9,secondary_proton,1,1,1
1329,14,pi-,1,1,1
1330,0,null,0,0,0
1331,0,null,0,0,0
1332,5,secondary_proton,1,1,0
1333,0,null,0,0,0
1334,0,null,0,0,0
1335,0,null,0,0,0
1336,0,null,0,0,0
1337,0,null,0,0,0
1338,0,null,0,0,0
1339,0,null,0,0,0
1340,0,null,0,0,0
1341,1,primary_proton,1,1,1
1342,1,primary_proton,1,1,1
1343,0,null,0,0,0
1344,0,null,0,0,0
1345,0,null,0,0,0
1346,0,null,0,0,0
1347,0,null,0,0,0
1348,0,null,0,0,0
1349,1,primary_proton,1,1,1
1350,0,null,0,0,0
1351,0,null,0,0,0
1352,0,null,0,0,0
1353,0,null,0,0,0
1354,0,null,0,0,0
1355,1,primary_proton,1,1,1
1356,0,null,0,0,0
1357,0,null,0,0,0
1358,2,secondary_proton,1,1,1
1359,1,primary_proton,1,1,1
1360,170,secondary_proton,1,0,0
1361,0,null,0,0,0
1362,0,null,0,0,0
1363,0,null,0,0,0
1364,0,null,0,0,0
1365,0,null,0,0,0
1366,0,null,0,0,0
1367,0,null,0,0,0
1368,0,null,0,0,0
1369,1,primary_proton,1,1,1
1370,1,primary_proton,1,1,0
1371,1,primary_proton,1,1,1
1372,0,null,0,0,0
1373,0,null,0,0,0
1374,0,null,0,0,0
1375,1,primary_proton,1,1,1
1376,0,null,0,0,0
1377,0,null,0,0,0
1378,0,null,0,0,0
1379,515,pi-,1,0,0
1380,0,null,0,0,0
1381,0,null,0,0,0
1382,0,null,0,0,0
1383,0,null,0,0,0
1384,0,null,0,0,0
1385,0,null,0,0,0
1386,12,secondary_proton,1,1,1
1388,0,null,0,0,0
1389,0,null,0,0,0
1390,0,null,0,0,0
1391,0,null,0,0,0
1392,0,null,0,0,0
1393,0,null,0,0,0
1394,0,null,0,0,0
1395,315,e-,1,0,0
1396,0,null,0,0,0
1397,1,primary_proton,1,1,1
1398,18,secondary_proton,1,1,0
1399,0,null,0,0,0
1400,0,null,0,0,0
1401,0,null,0,0,0
1402,11,secondary_proton,1,1,1
1403,0,null,0,0,0
1404,102,secondary_proton,1,1,1
1405,11,secondary_proton,1,0,0
1406,0,null,0,0,0
1407,0,null,0,0,0
1408,11,secondary_proton,1,0,0
1409,0,null,0,0,0
1410,0,null,0,0,0
1411,0,null,0,0,0
1412,1,primary_proton,1,1,0
1413,0,null,0,0,0
1414,0,null,0,0,0
1415,0,null,0,0,0
1416,1,primary_proton,1,1,1
1417,0,null,0,0,0
1418,0,null,0,0,0
1419,0,null,0,0,0
1420,0,null,0,0,0
1421,6,secondary_proton,1,1,1
1422,1,primary_proton,1,1,1
1423,1,primary_proton,1,1,1
1424,0,null,0,0,0
1425,0,null,0,0,0
1426,1,primary_proton,1,1,1
1427,10,secondary_proton,1,0,0
1428,0,null,0,0,0
1429,0,null,0,0,0
1430,0,null,0,0,0
1431,0,null,0,0,0
1432,13,secondary_proton,1,1,1
1433,0,null,0,0,0
1434,1,primary_proton,1,1,1
1435,0,null,0,0,0
1436,0,null,0,0,0
1437,1,primary_proton,1,1,1
1438,0,null,0,0,0
1439,1,primary_proton,1,1,1
1440,0,null,0,0,0
1441,1,primary_proton,1,1,1
1442,15,pi-,1,1,1
1443,2,secondary_proton,1,1,0
1444,0,null,0,0,0
1445,1,primary_proton,1,1,1
1446,0,null,0,0,0
1447,0,null,0,0,0
1448,392,e-,1,1,1
1449,0,null,0,0,0
1450,1,primary_proton,1,1,1
1451,0,null,0,0,0
1452,0,null,0,0,0
1453,0,null,0,0,0
1454,0,null,0,0,0
1455,0,null,0,0,0
1456,0,null,0,0,0
1457,0,null,0,0,0
1458,0,null,0,0,0
1459,1,primary_proton,1,1,1
1460,0,null,0,0,0
1461,4,secondary_proton,1,1,1
1462,0,null,0,0,0
1463,0,null,0,0,0
1464,1,primary_proton,1,1,1
1465,8,secondary_proton,1,1,1
1466,1,primary_proton,1,1,1
1467,0,null,0,0,0
1468,0,null,0,0,0
1469,0,null,0,0,0
1470,3,secondary_proton,1,1,1
1471,0,null,0,0,0
1472,0,null,0,0,0
1473,0,null,0,0,0
1474,0,null,0,0,0
1475,0,null,0,0,0
1476,0,null,0,0,0
1477,0,null,0,0,0
1478,6,secondary_proton,1,1,0
1479,1,primary_proton,1,1,1
1480,0,null,0,0,0
1481,0,null,0,0,0
1482,3370,e-,1,0,1
1483,14,pi-,1,0,0
1484,11,secondary_proton,1,1,1
1485,11,pi-,1,0,0
1486,1,primary_proton,1,1,1
1487,1,primary_proton,1,1,1
1488,11,secondary_proton,1,1,1
1489,0,null,0,0,0
1490,1,primary_proton,1,1,1
1491,517,secondary_proton,1,1,1
1492,0,null,0,0,0
1493,0,null,0,0,0
1494,1,primary_proton,1,1,1
1495,0,null,0,0,0
1496,8,secondary_proton,1,1,1
1497,0,null,0,0,0
1498,841,secondary_proton,1,0,0
1499,17,secondary_proton,1,1,1
1500,11,secondary_proton,1,1,0
1501,1,primary_proton,1,1,1
1502,0,null,0,0,0
1503,9,secondary_proton,1,1,1
1504,0,null,0,0,0
1505,1,primary_proton,1,1,1
1506,1,primary_proton,1,1,1
1507,1,primary_proton,1,1,1
1508,0,null,0,0,0
1509,1,primary_proton,1,1,1
1510,0,null,0,0,0
1511,0,null,0,0,0
1512,1,primary_proton,1,1,1
1513,0,null,0,0,0
1514,0,null,0,0,0
1515,0,null,0,0,0
1516,0,null,0,0,0
1517,6,secondary_proton,1,0,0
1518,7,secondary_proton,1,1,1
1519,0,null,0,0,0
1520,0,null,0,0,0
1521,1,primary_proton,1,1,1
1522,0,null,0,0,0
1523,0,null,0,0,0
1524,0,null,0,0,0
1525,0,null,0,0,0
1526,0,null,0,0,0
1527,26,pi+,1,0,0
1528,1,primary_proton,1,1,1
1529,0,null,0,0,0
1530,0,null,0,0,0
1531,0,null,0,0,0
1532,0,null,0,0,0
1533,0,null,0,0,0
1534,0,null,0,0,0
1535,0,null,0,0,0
1536,6,secondary_proton,1,1,1
1537,0,null,0,0,0
1538,0,null,0,0,0
1539,1,primary_proton,1,1,1
1540,6,secondary_proton,1,0,0
1541,8,secondary_proton,1,1,1
1542,0,null,0,0,0
1543,14,secondary_proton,1,0,0
1544,0,null,0,0,0
1545,0,null,0,0,0
1546,1,primary_proton,1,1,1
1547,0,null,0,0,0
1548,0,null,0,0,0
1549,0,null,0,0,0
1550,0,null,0,0,0
1551,0,null,0,0,0
1552,1,primary_proton,1,1,1
1553,222,secondary_proton,1,1,0
1554,0,null,0,0,0
1555,1,primary_proton,1,1,1
1556,0,null,0,0,0
1557,0,null,0,0,0
1558,0,null,0,0,0
1559,8,pi-,1,0,0
1560,0,null,0,0,0
1561,0,null,0,0,0
1562,0,null,0,0,0
1563,0,null,0,0,0
1564,0,null,0,0,0
1565,0,null,0,0,0
1566,0,null,0,0,0
1567,0,null,0,0,0
1568,8,pi-,1,1,0
1569,31,pi-,1,1,0
1570,262,secondary_proton,0,1,0
1571,0,null,0,0,0
1572,0,null,0,0,0
1573,0,null,0,0,0
1574,0,null,0,0,0
1575,0,null,0,0,0
1577,12,secondary_proton,1,1,0
1578,1,primary_proton,1,1,1
1579,785,e-,1,0,0
1580,0,null,0,0,0
1581,0,null,0,0,0
1582,1,primary_proton,1,1,1
1583,0,null,0,0,0
1584,1,primary_proton,1,1,1
1585,0,null,0,0,0
1586,1,primary_proton,1,1,1
1587,1,primary_proton,1,1,1
1588,0,null,0,0,0
1589,1,primary_proton,1,1,1
1590,421,e-,0,0,1
1591,0,null,0,0,0
1592,7,secondary_proton,1,1,1
1593,235,e-,1,1,1
1594,1,primary_proton,1,1,1
1595,6,secondary_proton,1,1,1
1596,139,e-,0,1,0
1597,473,e-,1,0,0
1598,0,null,0,0,0
1599,0,null,0,0,0
1600,0,null,0,0,0
1601,10,secondary_proton,1,0,0
1602,1,primary_proton,1,1,1
1603,0,null,0,0,0
1604,3,secondary_proton,1,1,0
1605,245,secondary_proton,1,0,0
1606,13,secondary_proton,1,1,1
1607,0,null,0,0,0
1608,0,null,0,0,0
1609,1,primary_proton,1,1,1
1610,11,secondary_proton,1,1,0
1611,0,null,0,0,0
1612,0,null,0,0,0
1613,1,primary_proton,1,1,1
1614,1,primary_proton,1,1,1
1615,0,null,0,0,0
1616,0,null,0,0,0
1617,7,secondary_proton,1,0,0
1618,0,null,0,0,0
1619,0,null,0,0,0
1620,0,null,0,0,0
1621,0,null,0,0,0
1622,0,null,0,0,0
1623,2,secondary_proton,1,0,0
1624,7,secondary_proton,1,1,1
1625,0,null,0,0,0
1626,0,null,0,0,0
1627,1,primary_proton,1,1,1
1628,1,primary_proton,1,1,1
1629,1,primary_proton,1,1,1
1630,0,null,0,0,0
1631,0,null,0,0,0
1632,0,null,0,0,0
1633,0,null,0,0,0
1634,3,secondary_proton,1,0,0
1635,0,null,0,0,0
1636,0,null,0,0,0
1637,1,primary_proton,1,1,1
1638,2,secondary_proton,1,1,1
1639,0,null,0,0,0
1640,0,null,0,0,0
1641,0,null,0,0,0
1642,0,null,0,0,0
1643,0,null,0,0,0
1644,979,e-,0,1,0
1645,0,null,0,0,0
1646,0,null,0,0,0
1647,0,null,0,0,0
1648,0,null,0,0,0
1649,0,null,0,0,0
1650,12,secondary_proton,1,1,1
1651,6,pi+,1,1,0
1652,0,null,0,0,0
1653,0,null,0,0,0
1654,0,null,0,0,0
1655,1,primary_proton,1,1,1
1656,0,null,0,0,0
1657,18,secondary_proton,1,1,0
1658,0,null,0,0,0
1659,237,secondary_proton,0,0,1
1660,0,null,0,0,0
1661,0,null,0,0,0
1662,0,null,0,0,0
1663,0,null,0,0,0
1664,0,null,0,0,0
1665,0,null,0,0,0
1666,0,null,0,0,0
1667,0,null,0,0,0
1668,1,primary_proton,1,1,1
1669,543,secondary_proton,1,0,0
1670,15,pi-,1,1,1
1671,0,null,0,0,0
1672,1,primary_proton,1,1,1
1673,0,null,0,0,0
1674,9,secondary_proton,1,1,0
1675,1,primary_proton,1,1,1
1676,0,null,0,0,0
1677,1,primary_proton,1,1,1
1678,4,secondary_proton,1,1,1
1679,0,null,0,0,0
1680,0,null,0,0,0
1681,0,null,0,0,0
1682,0,null,0,0,0
1683,0,null,0,0,0
1684,0,null,0,0,0
1685,1,primary_proton,1,1,1
1686,6,secondary_proton,1,1,1
1687,3,secondary_proton,1,0,0
1688,0,null,0,0,0
1689,0,null,0,0,0
1690,10,secondary_proton,1,1,1
1691,0,null,0,0,0
1692,0,null,0,0,0
1693,1,primary_proton,1,1,1
1694,4,secondary_proton,1,0,0
1695,6,secondary_proton,1,1,0
1696,0,null,0,0,0
