run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,3567,22285,692140,39823,22921,25,128,17330,16940,1595898,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,3625,22663,714280,40362,23795,24,113,17773,17048,1636727,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,3646,22978,724909,41337,23839,31,147,17969,17470,1666138,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,3618,22639,703734,40330,23442,29,115,17592,17006,1611910,0
