run,total,proton,electron,gamma,pion,muon,other
1,11512,121,340,9593,273,2,1183
2,7593,97,300,6136,201,1,858
3,8999,139,309,7335,225,0,991
4,9235,150,328,7531,227,1,998
5,10975,125,366,9294,221,2,967
6,9848,134,295,8278,200,0,941
7,13714,138,434,11725,263,0,1154
8,8656,127,266,7136,224,1,902
9,11084,153,361,9075,297,1,1197
10,8210,151,283,6639,232,1,904
Total,99826,1335,3282,82742,2363,9,10095
Average,9982,133,328,8274,236,0,1009
Per Proton,9,0,,8,0,0,1
