run,total,proton,electron,gamma,pion,muon,other
1,5387,124,185,4054,208,0,816
2,4987,109,130,3810,165,0,773
3,4459,92,134,3327,185,1,720
4,6622,95,219,5337,186,0,785
5,7894,119,270,6321,241,0,943
6,8040,110,275,6590,200,0,865
7,8530,118,218,6936,244,1,1013
8,11690,137,373,9692,291,1,1196
9,8125,90,215,6835,181,1,803
10,6761,135,211,5286,205,0,924
Total,72495,1129,2230,58188,2106,4,8838
Average,7249,112,223,5818,210,0,883
Per Proton,7,0,,5,0,0,0
