run,total,proton,electron,gamma,pion,muon,other
1,8418,124,252,6853,220,1,968
2,7732,128,226,6155,219,0,1004
3,10707,116,374,8847,253,0,1117
4,7624,87,255,6256,182,0,844
5,7123,100,203,5899,155,0,766
6,8496,129,247,6893,240,1,986
7,7191,103,254,5763,192,0,879
8,10595,108,363,8932,214,3,975
9,9826,122,377,8007,210,1,1109
10,7824,109,257,6383,191,0,884
Total,85536,1126,2808,69988,2076,6,9532
Average,8553,112,280,6998,207,0,953
Per Proton,8,0,,6,0,0,0
