run,total,proton,electron,gamma,pion,muon,other
1,5053,92,167,3987,147,1,659
2,6273,94,227,4905,199,0,848
3,2261,74,47,1593,117,0,430
4,5942,84,164,4847,160,1,686
5,4012,70,89,3268,101,0,484
6,4026,73,110,3154,115,0,574
7,5515,87,173,4392,173,0,690
8,4325,93,141,3247,155,0,689
9,3489,84,120,2600,143,0,542
10,3236,94,103,2299,139,0,601
Total,44132,845,1341,34292,1449,2,6203
Average,4413,84,134,3429,144,0,620
Per Proton,4,0,,3,0,0,0
