run,total,proton,electron,gamma,pion,muon,other
1,7177,115,272,5585,263,1,941
2,6244,104,191,5144,162,1,642
3,8227,102,273,6752,193,0,907
4,5075,97,188,3893,183,1,713
5,7326,123,243,5683,226,1,1050
6,6085,102,213,4697,206,0,867
7,7382,112,235,5820,233,1,981
8,10266,112,355,8565,219,0,1015
9,6629,85,187,5365,173,1,818
10,7623,129,295,5919,241,0,1039
Total,72034,1081,2452,57423,2099,6,8973
Average,7203,108,245,5742,209,0,897
Per Proton,7,0,,5,0,0,0
