run,total,proton,electron,gamma,pion,muon,kaon,other,photons
1,1043,13,12,835,0,0,0,183,84330
2,1125,8,7,951,1,0,2,156,76200
3,1111,5,4,929,3,0,0,170,79258
4,1404,16,10,1198,0,0,3,177,80904
5,1022,13,4,821,1,0,0,183,81324
6,1300,8,6,1050,0,0,3,233,97805
7,1286,18,7,1065,1,0,1,194,81897
8,954,6,3,778,3,0,0,164,88922
9,1367,12,7,1188,1,0,1,158,97320
10,1476,19,9,1216,2,0,0,230,98715
Total,12088,118,69,10031,12,0,10,1848,866675
Average,1208,11,6,1003,1,0,1,184,86667
Per Proton,1,0,0,1,0,0,,0,86
