event,track,particle,d1,d2,d3
0,0,null,0,0,0
1,13,pi+,1,1,1
2,465,e-,1,0,1
3,1,primary_proton,1,1,1
4,0,null,0,0,0
5,10,secondary_proton,1,1,1
6,6,secondary_proton,1,1,1
7,0,null,0,0,0
8,0,null,0,0,0
9,1,primary_proton,1,1,1
10,0,null,0,0,0
11,1,primary_proton,1,1,1
12,7,pi-,1,0,0
13,1,primary_proton,1,1,1
14,804,e-,1,0,0
15,0,null,0,0,0
16,0,null,0,0,0
17,0,null,0,0,0
18,1,primary_proton,1,1,1
19,669,e-,0,1,0
20,1,primary_proton,1,1,1
21,0,null,0,0,0
22,0,null,0,0,0
23,0,null,0,0,0
24,1,primary_proton,1,1,1
25,0,null,0,0,0
26,0,null,0,0,0
27,0,null,0,0,0
28,0,null,0,0,0
29,0,null,0,0,0
30,225,secondary_proton,1,0,0
31,19,pi-,1,0,0
32,26,secondary_proton,1,0,0
33,1,primary_proton,1,1,1
34,1,primary_proton,1,1,1
35,2009,pi+,1,1,0
36,1,primary_proton,1,1,1
37,0,null,0,0,0
38,0,null,0,0,0
39,15,pi+,1,0,0
40,0,null,0,0,0
41,15,pi+,1,1,1
42,0,null,0,0,0
43,9,secondary_proton,1,1,1
44,0,null,0,0,0
45,0,null,0,0,0
46,15,pi+,1,1,1
47,0,null,0,0,0
48,0,null,0,0,0
49,487,e-,1,1,0
50,1,primary_proton,1,1,1
51,0,null,0,0,0
52,5,secondary_proton,1,0,0
53,1,primary_proton,1,1,1
54,1,primary_proton,1,1,1
55,1,primary_proton,1,1,1
56,16,pi-,1,1,1
57,222,secondary_proton,1,1,0
58,1,primary_proton,1,1,1
59,0,null,0,0,0
60,0,null,0,0,0
61,0,null,0,0,0
62,0,null,0,0,0
63,0,null,0,0,0
64,1,primary_proton,1,1,1
65,0,null,0,0,0
66,1,primary_proton,1,1,1
67,1474,e-,1,0,0
68,1,primary_proton,1,1,1
69,1,primary_proton,1,1,1
70,8,secondary_proton,1,1,1
71,6,secondary_proton,1,0,0
72,1,primary_proton,1,1,1
73,1,primary_proton,1,1,1
74,6,pi-,1,1,1
75,12,secondary_proton,1,1,1
76,0,null,0,0,0
77,0,null,0,0,0
78,0,null,0,0,0
79,0,null,0,0,0
80,0,null,0,0,0
81,0,null,0,0,0
82,0,null,0,0,0
83,0,null,0,0,0
84,74,pi-,1,1,0
85,84,secondary_proton,1,1,1
86,0,null,0,0,0
87,222,secondary_proton,1,1,1
88,447,secondary_proton,1,1,1
89,0,null,0,0,0
90,3,secondary_proton,1,1,1
91,0,null,0,0,0
92,831,e-,0,1,0
93,0,null,0,0,0
94,1,primary_proton,1,1,1
95,0,null,0,0,0
96,1,primary_proton,1,1,1
97,1,primary_proton,1,1,1
98,0,null,0,0,0
99,0,null,0,0,0
100,0,null,0,0,0
101,12,secondary_proton,1,1,1
102,1,primary_proton,1,1,1
103,0,null,0,0,0
104,0,null,0,0,0
105,0,null,0,0,0
106,1,primary_proton,1,1,1
107,0,null,0,0,0
108,0,null,0,0,0
109,0,null,0,0,0
110,0,null,0,0,0
111,0,null,0,0,0
112,0,null,0,0,0
113,0,null,0,0,0
114,4,secondary_proton,1,1,1
115,1,primary_proton,1,1,1
116,0,null,0,0,0
117,0,null,0,0,0
118,830,secondary_proton,1,0,0
119,1,primary_proton,1,1,1
120,0,null,0,0,0
121,0,null,0,0,0
122,9,pi-,1,1,1
123,0,null,0,0,0
124,0,null,0,0,0
125,0,null,0,0,0
126,12,pi+,1,1,1
127,11,secondary_proton,1,1,1
128,0,null,0,0,0
129,23,pi+,1,1,0
130,0,null,0,0,0
131,1,primary_proton,1,1,1
132,0,null,0,0,0
133,2593,secondary_proton,1,0,0
134,338,secondary_proton,1,0,0
135,0,null,0,0,0
136,443,secondary_proton,1,0,0
137,0,null,0,0,0
138,416,secondary_proton,1,0,0
139,1,primary_proton,1,1,1
140,9,secondary_proton,1,1,1
141,0,null,0,0,0
142,4,secondary_proton,1,0,0
143,0,null,0,0,0
144,0,null,0,0,0
145,1,primary_proton,1,1,1
146,1,primary_proton,1,1,1
147,0,null,0,0,0
148,7,secondary_proton,1,1,1
149,153,pi-,1,0,0
150,1,primary_proton,1,1,1
151,0,null,0,0,0
152,0,null,0,0,0
153,0,null,0,0,0
154,0,null,0,0,0
155,15,pi-,1,0,0
156,0,null,0,0,0
157,0,null,0,0,0
158,0,null,0,0,0
159,9,secondary_proton,1,0,0
160,0,null,0,0,0
161,0,null,0,0,0
162,0,null,0,0,0
163,0,null,0,0,0
164,0,null,0,0,0
165,0,null,0,0,0
166,0,null,0,0,0
167,4,secondary_proton,1,1,0
168,0,null,0,0,0
169,1,primary_proton,1,1,1
170,0,null,0,0,0
171,0,null,0,0,0
172,0,null,0,0,0
173,573,e-,1,1,1
174,19,secondary_proton,1,1,0
175,18,pi+,1,1,1
176,0,null,0,0,0
177,1044,e-,1,0,0
178,0,null,0,0,0
179,0,null,0,0,0
180,0,null,0,0,0
181,0,null,0,0,0
182,2,secondary_proton,1,1,1
183,14,pi-,1,1,1
184,0,null,0,0,0
185,0,null,0,0,0
186,0,null,0,0,0
187,0,null,0,0,0
188,1,primary_proton,1,1,1
189,1,primary_proton,1,1,1
190,1,primary_proton,1,1,1
191,1,primary_proton,1,1,1
192,1832,secondary_proton,1,1,0
193,0,null,0,0,0
194,0,null,0,0,0
195,0,null,0,0,0
196,5,secondary_proton,1,1,1
197,0,null,0,0,0
