event,track,particle,d1,d2,d3
1305,11,pi-,1,1,1
1306,3112,pi-,1,0,0
1307,0,null,0,0,0
1308,16,pi+,1,1,0
1309,0,null,0,0,0
1310,1,primary_proton,1,1,1
1311,18,secondary_proton,1,1,1
1312,0,null,0,0,0
1313,1,primary_proton,1,1,1
1314,2014,pi-,1,0,0
1315,6,secondary_proton,1,0,0
1316,1,primary_proton,1,1,1
1317,9,secondary_proton,1,1,1
1318,22,pi+,1,1,1
1319,0,null,0,0,0
1320,3,secondary_proton,1,1,1
1321,24,pi+,1,1,1
1322,13,pi+,1,1,1
1323,1,primary_proton,1,1,1
1324,7,secondary_proton,1,1,1
1325,1,primary_proton,1,1,1
1326,2189,pi+,1,1,0
1327,583,pi-,1,1,1
1328,56,pi-,1,1,1
1329,0,null,0,0,0
1400,1,primary_proton,1,1,1
1401,9,secondary_proton,1,1,1
1402,145,pi+,1,1,1
1403,16,secondary_proton,1,1,1
1404,0,null,0,0,0
1405,0,null,0,0,0
1406,1,primary_proton,1,1,1
1407,11,pi+,1,1,1
1408,1,primary_proton,1,1,1
1409,9,secondary_proton,1,1,1
1410,13,pi+,1,1,1
1411,20,pi-,1,1,1
1412,1,primary_proton,1,1,1
1413,0,null,0,0,0
1414,34,pi+,1,1,1
1415,1,primary_proton,1,1,1
1416,0,null,0,0,0
1417,9933,pi+,1,1,1
1418,34,secondary_proton,1,0,0
1419,0,null,0,0,0
1420,8,pi-,1,1,0
1421,556,secondary_proton,1,1,1
1422,10,secondary_proton,1,1,1
1423,1617,pi+,1,1,1
1424,1,primary_proton,1,1,1
1425,1944,e+,1,1,0
1426,1,primary_proton,1,1,1
1427,2,secondary_proton,1,0,0
1428,15,pi+,1,1,1
1429,9212,pi-,1,1,1
1430,7,secondary_proton,1,1,1
1431,15,pi-,1,1,1
1432,8,secondary_proton,1,1,1
1433,7511,secondary_proton,1,1,1
1434,3,secondary_proton,1,1,0
1435,1,primary_proton,1,1,1
1436,6,secondary_proton,1,1,1
1437,0,null,0,0,0
1438,18,pi+,1,1,1
1439,6,pi-,1,0,0
1440,1,primary_proton,1,1,1
1441,0,null,0,0,0
1442,0,null,0,0,0
1443,15,pi+,1,1,0
1444,12,secondary_proton,1,1,1
1445,1417,pi-,1,0,0
1446,1578,pi+,1,1,1
1447,10,pi-,1,1,1
1448,15,pi-,1,1,1
1449,17,pi-,1,0,0
1203,11,secondary_proton,1,1,1
1204,18,secondary_proton,1,1,1
1205,16,pi+,1,0,0
1206,14,pi-,1,1,1
1207,17,pi-,1,1,1
1208,0,null,0,0,0
1209,1,primary_proton,1,1,1
1210,9,secondary_proton,1,1,1
1211,6745,secondary_proton,1,1,1
1212,8664,secondary_proton,1,1,0
1213,10,pi-,1,1,1
1214,1,primary_proton,1,1,1
1215,14,pi-,1,1,1
1216,8,secondary_proton,1,1,1
1217,6,pi+,1,1,1
1218,9291,e+,1,0,0
1219,13,pi+,1,1,1
1220,9,pi+,1,1,1
1221,1,primary_proton,1,1,1
1222,5249,pi-,1,1,1
1223,11,pi-,1,1,1
1224,18,secondary_proton,1,1,1
1225,0,null,0,0,0
1226,2444,pi+,1,0,0
1227,14,pi-,1,1,1
1228,0,null,0,0,0
1229,5833,secondary_proton,1,1,1
1230,18,pi-,1,1,1
1231,440,secondary_proton,1,1,1
1232,3995,pi-,1,1,0
1233,14,secondary_proton,1,1,1
1234,0,null,0,0,0
1235,5,secondary_proton,1,1,1
1236,0,null,0,0,0
1237,23,pi-,1,1,1
1238,0,null,0,0,0
1239,0,null,0,0,0
1240,0,null,0,0,0
1241,19,pi+,1,0,0
1242,0,null,0,0,0
1243,12,pi+,1,1,1
1244,27,pi-,1,1,1
1245,0,null,0,0,0
1246,13721,pi-,1,1,0
1247,24,pi+,1,1,1
1248,0,null,0,0,0
1249,15,pi-,1,1,1
1250,10,secondary_proton,1,1,0
1251,22,secondary_proton,1,1,1
1252,10,pi-,1,1,0
1253,25,pi+,1,1,1
1254,3217,pi+,1,0,0
1255,4081,secondary_proton,1,1,1
1256,1,primary_proton,1,1,1
1257,8449,secondary_proton,1,0,0
1258,0,null,0,0,0
1259,0,null,0,0,0
1330,8,secondary_proton,1,1,0
1331,0,null,0,0,0
1332,9,pi+,1,1,1
1333,1,primary_proton,1,1,1
1334,1,primary_proton,1,1,1
1335,136,secondary_proton,1,1,1
1336,1,primary_proton,1,1,1
1337,13,pi+,1,1,1
1338,0,null,0,0,0
1339,172,pi-,1,1,1
1340,3731,secondary_proton,1,1,0
1341,14,secondary_proton,1,1,1
1342,15,pi+,1,1,0
1343,0,null,0,0,0
1344,25,secondary_proton,1,1,0
1345,7,pi-,1,1,1
1346,335,pi+,1,1,0
1347,10,pi+,1,1,1
1348,6314,secondary_proton,1,1,0
1349,13033,secondary_proton,1,1,0
1350,12,pi+,1,1,0
1351,10,pi-,1,1,1
1352,0,null,0,0,0
1353,3051,e-,1,0,0
1354,1,primary_proton,1,1,1
1355,4999,pi+,1,1,1
1356,275,secondary_proton,1,1,1
1357,1,primary_proton,1,1,1
1358,14,secondary_proton,1,1,1
1359,0,null,0,0,0
1360,13,pi+,1,1,1
1361,12,pi+,1,1,1
1362,6,secondary_proton,1,1,1
1363,13,pi+,1,1,1
1364,31,secondary_proton,1,1,1
1365,1,primary_proton,1,1,1
1366,735,pi+,1,1,1
1367,0,null,0,0,0
1368,1,primary_proton,1,1,1
1369,17,secondary_proton,1,1,1
1370,1676,pi+,1,1,1
1371,4429,pi+,1,0,0
1372,937,secondary_proton,1,1,1
1373,7,secondary_proton,1,1,1
1374,0,null,0,0,0
1375,0,null,0,0,0
1376,0,null,0,0,0
1377,1,primary_proton,1,1,1
1378,1,primary_proton,1,1,1
1379,724,secondary_proton,1,1,1
1380,2070,pi-,1,0,0
1381,1,primary_proton,1,1,1
1382,261,kaon+,1,1,1
1383,9,secondary_proton,1,1,1
1384,1,primary_proton,1,1,1
1385,9,pi-,1,1,0
1386,1,primary_proton,1,1,1
1387,13,pi-,1,1,1
1388,20,pi+,1,1,1
1389,7422,kaon+,1,0,0
1390,1,primary_proton,1,1,1
1391,18,secondary_proton,1,1,1
1392,25,pi-,1,1,1
1393,3187,e-,0,1,1
1394,23,secondary_proton,1,1,1
1395,12,pi-,1,1,1
1396,23,pi+,1,1,1
1397,7,secondary_proton,1,1,0
1398,7,pi-,1,1,0
1399,1,primary_proton,1,1,1
1470,5,secondary_proton,1,0,0
1471,8,secondary_proton,1,1,1
1472,1,primary_proton,1,1,1
1473,1302,pi-,1,0,0
1474,5,pi+,1,1,0
1475,9258,pi+,1,0,0
1476,8455,pi-,1,1,1
1477,5,pi+,1,0,0
1478,0,null,0,0,0
1479,10,pi-,1,1,1
1480,30,pi-,1,1,0
1481,1,primary_proton,1,1,1
1482,0,null,0,0,0
1483,0,null,0,0,0
1484,0,null,0,0,0
1485,728,secondary_proton,1,0,0
1486,2955,e-,1,0,0
1487,1,primary_proton,1,1,1
1488,6,pi-,1,1,1
1489,3,secondary_proton,1,1,1
1490,1,primary_proton,1,1,1
1491,21,secondary_proton,1,1,1
1492,16,pi-,1,1,1
1493,5,pi-,1,1,1
1494,1473,kaon+,1,0,0
1495,14,pi+,1,1,1
1496,1,primary_proton,1,1,1
1497,4,secondary_proton,1,1,1
1498,1,primary_proton,1,1,1
1499,92,secondary_proton,1,1,1
1500,11,pi-,1,1,1
1501,1081,pi+,1,0,0
1502,21,pi+,1,1,1
1503,3,pi+,1,0,0
1504,20,pi-,1,1,1
1505,18,pi-,1,1,1
1506,8927,secondary_proton,1,0,0
1507,9892,pi-,1,0,0
1508,1,primary_proton,1,1,1
1509,9,secondary_proton,1,1,1
1510,1,primary_proton,1,1,1
1511,1182,e-,1,0,0
1512,16,secondary_proton,1,1,1
1513,1120,pi-,1,0,0
1514,7,pi+,1,1,1
1515,12,kaon+,1,1,1
1516,6342,pi+,1,1,1
1517,1104,e-,1,1,1
1518,5,secondary_proton,1,1,1
1451,310,secondary_proton,1,1,1
1452,13,pi-,1,1,1
1453,0,null,0,0,0
1454,0,null,0,0,0
1455,19,pi-,1,1,1
1456,765,kaon+,1,0,0
1457,16,secondary_proton,1,1,1
1458,7,pi+,1,0,0
1459,1,primary_proton,1,1,1
1460,14,pi-,1,1,1
1461,20,pi-,1,1,1
1462,1,primary_proton,1,1,1
1463,12,pi+,1,1,1
1464,1,primary_proton,1,1,1
1465,0,null,0,0,0
1466,0,null,0,0,0
1467,25,secondary_proton,1,1,0
1468,1,primary_proton,1,1,1
1469,27,pi+,1,0,0
1540,6365,pi-,1,1,0
1541,15,secondary_proton,1,1,1
1542,14,pi-,1,1,1
1543,21,pi+,1,1,1
1544,1,primary_proton,1,1,1
1545,2461,pi-,1,1,1
1546,211,pi+,1,1,0
1547,14229,secondary_proton,1,1,0
1548,13,pi-,1,1,1
