event,track,particle,tungsten_entry,tungsten_exit,sc1_entry,sc1_exit,sc2_entry,sc2_exit,sc3_entry,sc3_exit
104,13,neutron,0,0,0,0,0,0,1,0
104,14,deuteron,0,0,0,0,0,0,0,1
104,18,gamma,0,0,0,0,0,0,0,1
104,19,gamma,0,0,0,0,0,0,0,1
104,20,gamma,0,0,0,0,0,0,0,1
104,21,gamma,0,0,0,0,0,0,0,1
105,1,proton,1,1,1,1,1,1,1,1
106,1,proton,1,1,1,1,1,1,1,1
107,1,proton,1,1,1,1,1,1,1,1
108,1,proton,1,1,1,1,1,1,1,1
109,1,proton,1,1,1,1,1,1,1,1
109,2,e-,1,0,0,0,0,0,0,0
110,1,proton,1,1,1,1,1,1,1,1
111,1,proton,1,1,1,1,1,1,1,1
112,1,proton,1,1,1,1,1,1,1,1
113,1,proton,1,1,1,1,1,1,1,1
114,1,proton,1,1,1,1,1,1,1,1
115,1,proton,1,1,1,1,1,1,1,1
116,1,proton,1,1,1,1,1,1,1,1
117,1,proton,1,1,1,1,1,1,1,1
117,3,e-,0,0,0,0,0,0,0,1
117,4,e-,0,0,0,0,0,0,0,1
118,1,proton,1,1,1,1,1,1,1,1
119,1,proton,1,1,1,1,1,1,1,0
120,1,proton,1,1,1,1,1,1,1,0
121,1,proton,1,1,1,1,1,1,1,1
121,2,e-,1,0,0,0,0,0,0,0
122,1,proton,1,1,1,1,1,1,1,1
122,5,e-,0,0,0,1,0,0,0,0
123,1,proton,1,1,1,1,1,0,0,0
123,3,kaon+,0,0,0,0,0,1,1,1
123,5,pi-,0,0,0,0,0,1,1,1
123,6,pi+,0,0,0,0,0,1,1,0
123,7,proton,0,0,0,0,0,1,1,1
123,8,pi-,0,0,0,0,0,1,1,0
123,10,pi+,0,0,0,0,0,1,1,1
123,13,gamma,0,0,0,0,1,0,0,0
123,14,gamma,0,0,0,0,0,1,1,1
123,17,gamma,0,0,0,0,0,1,1,1
123,18,lambda,0,0,0,0,0,1,1,1
124,1,proton,1,1,1,1,1,1,1,1
125,1,proton,1,1,1,1,1,1,1,1
125,3,e-,0,0,0,1,0,0,0,0
125,5,e-,0,0,0,0,0,0,0,1
126,1,proton,1,1,1,1,1,1,1,0
127,1,proton,1,1,1,1,1,1,1,1
128,1,proton,1,1,1,1,1,1,1,1
129,1,proton,1,1,1,1,1,0,0,0
129,6,proton,0,0,0,0,0,1,1,1
129,8,proton,0,1,1,1,1,0,0,0
129,11,neutron,0,0,0,0,0,1,1,1
129,13,proton,0,0,0,0,0,1,1,1
129,15,alpha,0,0,0,0,1,0,0,0
129,16,e-,0,0,0,0,1,0,0,0
129,17,gamma,0,0,0,0,0,1,1,1
129,18,gamma,0,0,0,0,0,1,0,0
129,19,neutron,0,0,0,0,0,1,0,0
129,20,neutron,0,0,0,0,0,1,1,0
129,22,gamma,0,1,1,1,1,0,0,0
129,23,gamma,0,0,0,0,0,1,1,1
129,24,gamma,0,0,0,0,0,1,1,0
129,25,gamma,0,0,0,0,0,1,0,0
129,26,gamma,0,0,0,0,0,1,1,1
129,27,gamma,0,0,0,0,0,1,1,1
129,28,e-,0,0,0,0,0,0,0,1
129,29,gamma,0,0,0,0,0,1,1,1
129,30,gamma,0,0,0,0,0,1,1,0
130,1,proton,1,1,1,1,1,1,1,1
130,4,e-,0,0,0,0,0,0,0,1
130,5,e-,0,0,0,0,0,0,0,1
131,1,proton,1,1,1,1,1,1,1,1
132,1,proton,1,1,1,1,1,1,1,1
133,1,proton,1,1,1,1,1,1,1,1
133,4,e-,0,0,0,0,0,1,1,0
134,1,proton,1,1,1,1,1,1,1,1
134,6,e-,0,0,0,0,0,0,0,1
134,7,e-,0,0,0,0,0,0,0,1
135,1,proton,1,1,1,1,1,1,1,1
135,3,e-,0,0,0,1,1,0,0,0
136,1,proton,1,1,1,1,1,1,1,1
137,1,proton,1,1,1,1,1,1,1,1
138,1,proton,1,1,1,1,1,1,1,1
138,3,e-,0,0,0,1,1,1,1,1
138,5,gamma,0,0,0,1,1,1,1,1
139,1,proton,1,1,1,1,1,1,1,1
140,1,proton,1,1,1,1,1,1,1,0
141,1,proton,1,1,1,1,1,1,1,1
141,2,e-,0,0,0,0,1,0,0,0
142,1,proton,1,1,1,1,1,1,1,1
143,1,proton,1,1,1,1,1,1,1,0
144,1,proton,1,1,1,1,1,1,1,1
144,3,e-,0,0,0,1,1,0,0,0
145,1,proton,1,1,1,1,1,1,1,1
146,1,proton,1,1,1,1,1,1,1,0
147,1,proton,1,1,1,1,1,1,1,1
148,1,proton,1,1,1,1,1,1,1,1
149,1,proton,1,1,1,1,1,1,1,0
149,3,e-,0,0,0,1,1,1,1,0
150,1,proton,1,1,1,1,1,1,1,1
151,1,proton,1,1,1,1,1,1,1,1
152,1,proton,1,1,1,1,1,1,1,1
153,1,proton,1,1,1,1,1,1,1,1
154,1,proton,1,1,1,1,1,1,1,0
155,1,proton,1,1,1,1,1,1,1,1
156,1,proton,1,1,1,1,1,1,1,1
157,1,proton,1,1,1,1,1,1,1,1
157,2,e-,0,0,0,1,1,1,0,0
157,3,e-,0,0,0,0,0,0,1,0
158,1,proton,1,1,1,1,1,1,1,1
158,4,e-,0,0,0,1,1,1,1,1
158,5,gamma,0,0,0,1,1,1,1,0
159,1,proton,1,1,1,1,1,1,1,1
160,1,proton,1,1,1,1,1,1,1,1
160,2,e-,0,0,0,0,0,0,0,1
161,1,proton,1,1,1,1,1,1,1,1
162,1,proton,1,1,1,1,1,1,1,0
163,1,proton,1,1,1,1,1,1,1,1
164,1,proton,1,1,1,1,1,1,1,1
165,1,proton,1,1,1,1,1,1,1,1
166,1,proton,1,1,1,1,1,1,1,1
