run,total,proton,electron,gamma,pion,muon,kaon,other,photons
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
Total,0,0,0,0,0,0,0,0,0
Average,0,0,0,0,0,0,0,0,0
Per Proton,0,0,,0,0,0,,0,
