run,total,proton,electron,gamma,pion,muon,other
1,76,32,0,12,0,0,32
2,98,25,0,35,1,0,37
3,93,32,0,20,1,0,40
4,85,19,0,17,2,0,47
5,156,32,0,45,0,0,79
6,90,32,0,19,1,0,38
7,108,27,1,27,0,0,53
8,103,31,2,22,1,0,47
9,92,20,0,28,0,0,44
10,84,25,0,23,0,0,36
Total,985,275,3,248,6,0,453
Average,98,27,0,24,0,0,45
Per Proton,0,0,,0,0,0,0
