run,total,proton,electron,gamma,pion,muon,other
1,166,39,2,63,0,0,62
2,170,37,0,60,2,0,71
3,123,52,0,38,1,0,32
4,110,43,1,25,2,0,39
5,88,35,0,19,0,0,34
6,80,31,0,11,2,0,36
7,92,38,0,17,0,0,37
8,120,35,0,27,2,0,56
9,83,39,0,10,0,0,34
10,99,30,0,30,2,0,37
Total,1131,379,3,300,11,0,438
Average,113,37,0,30,1,0,43
Per Proton,0,0,,0,0,0,0
