run,total,proton,electron,gamma,pion,muon,other
1,102,35,0,24,0,0,43
2,95,32,0,28,0,0,35
3,103,31,1,28,0,0,43
4,91,36,0,23,2,0,30
5,172,37,2,85,0,0,48
6,102,40,0,27,1,0,34
7,98,27,0,23,2,0,46
8,153,33,0,56,1,0,63
9,118,31,1,40,1,0,45
10,119,51,0,23,2,0,43
Total,1153,353,4,357,9,0,430
Average,115,35,0,35,0,0,43
Per Proton,0,0,,0,0,0,0
