run,total,proton,electron,gamma,pion,muon,other
1,603,98,13,285,52,0,155
2,1475,91,56,1015,48,0,265
3,1576,71,59,1111,64,0,271
4,1598,90,44,1146,50,0,268
5,1497,79,42,1123,45,0,208
6,1481,84,48,1107,37,0,205
7,2187,71,66,1706,47,0,297
8,1281,80,59,940,33,0,169
9,1237,78,35,842,35,0,247
10,1222,78,37,814,65,0,228
Total,14157,820,459,10089,476,0,2313
Average,1415,82,45,1008,47,0,231
Per Proton,1,0,,1,0,0,0
