run,total,proton,electron,gamma,pion,muon,other
1,228,23,10,112,13,0,70
2,405,15,10,305,17,0,58
3,296,18,7,188,15,0,68
4,171,12,6,91,7,1,54
5,139,9,2,85,7,0,36
6,143,17,2,85,6,0,33
7,310,24,12,208,8,0,58
8,332,21,10,209,18,0,74
9,177,13,9,75,13,0,67
10,152,12,4,61,16,0,59
Total,2353,164,72,1419,120,1,577
Average,235,16,7,141,12,0,57
Per Proton,0,0,,0,0,0,0
