run,total,proton,electron,gamma,pion,muon,other
1,1887,91,61,1387,53,0,295
2,1196,85,51,765,39,1,255
3,994,89,23,609,49,0,224
4,2230,116,79,1719,55,0,261
5,1341,95,43,981,38,0,184
6,1914,99,65,1387,55,0,308
7,2284,81,108,1752,38,0,305
8,1297,101,45,875,55,0,221
9,1715,74,53,1296,44,1,247
10,1919,90,71,1396,62,0,300
Total,16777,921,599,12167,488,2,2600
Average,1677,92,59,1216,48,0,260
Per Proton,1,0,,1,0,0,0
