run,total,proton,electron,gamma,pion,muon,other
1,651,39,19,461,27,0,105
2,665,34,21,451,23,0,136
3,577,27,17,379,19,0,135
4,507,34,7,322,24,0,120
5,694,35,29,462,31,0,137
6,488,26,13,344,13,0,92
7,498,42,10,318,17,0,111
8,429,40,8,251,18,0,112
9,750,46,29,468,31,0,176
10,586,38,28,360,30,0,130
Total,5845,361,181,3816,233,0,1254
Average,584,36,18,381,23,0,125
Per Proton,0,0,,0,0,0,0
