run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,2470,26655,900276,48750,27533,37,181,20384,19511,1982235,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,2361,26093,884061,47155,25821,25,163,20032,19446,1907513,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,2372,26175,883532,47942,26787,38,208,20179,19270,1945169,0
run,primary_proton,secondary_proton,neutron,e-,e+,mu-,mu+,pi-,pi+,gamma,other
0,2349,26669,900399,48443,26628,23,187,20334,19631,1956159,0
