run,total,proton,electron,gamma,pion,muon,other
1,102,29,2,25,0,0,46
2,55,23,0,12,1,0,19
3,76,27,0,17,0,0,32
4,74,21,1,8,0,0,44
5,69,19,0,25,0,0,25
6,59,23,1,11,1,0,23
7,67,19,1,11,3,0,33
8,57,17,2,7,1,0,30
9,67,18,0,13,1,0,35
10,67,22,2,15,0,0,28
Total,693,218,9,144,7,0,315
Average,69,21,0,14,0,0,31
Per Proton,0,0,,0,0,0,0
