run,total,proton,electron,gamma,pion,muon,other
1,82,27,1,19,0,0,35
2,62,20,0,12,3,0,27
3,51,17,0,8,1,0,25
4,64,29,0,10,0,0,25
5,59,22,0,10,0,0,27
6,102,25,3,40,0,0,34
7,74,17,1,19,0,0,37
8,76,17,1,24,1,0,33
9,76,29,1,14,0,0,32
10,52,18,0,10,0,0,24
Total,698,221,7,166,5,0,299
Average,69,22,0,16,0,0,29
Per Proton,0,0,,0,0,0,0
