run,total,proton,electron,gamma,pion,muon,other
1,23,10,0,3,0,0,10
2,16,10,0,1,0,0,5
3,23,10,0,2,0,0,11
4,50,10,0,13,0,0,27
5,44,15,0,11,1,0,17
6,35,12,0,7,0,0,16
7,39,6,0,10,0,0,23
8,33,8,0,7,0,0,18
9,30,11,0,4,0,0,15
10,31,9,0,7,0,0,15
Total,324,101,0,65,1,0,157
Average,32,10,0,6,0,0,15
Per Proton,0,0,,0,0,0,0
