run,total,proton,electron,gamma,pion,muon,other
1,2493,43,97,1998,76,0,279
2,1604,32,51,1164,71,0,286
3,2206,33,77,1765,78,0,253
4,1437,24,58,1084,60,0,211
5,2668,42,126,2155,64,0,281
6,1273,35,50,954,46,2,186
7,1712,37,47,1357,68,0,203
8,2084,29,73,1690,65,0,227
9,1781,38,71,1341,72,0,259
10,2295,35,84,1835,73,0,268
Total,19553,348,734,15343,673,2,2453
Average,1955,34,73,1534,67,0,245
Per Proton,1,0,,1,0,0,0
