run,total,proton,electron,gamma,pion,muon,other
1,1356,22,62,1018,47,0,207
2,787,32,34,539,40,0,142
3,1451,28,55,1168,45,0,155
4,1241,24,55,977,49,0,136
5,1410,36,37,1101,53,0,183
6,1530,35,65,1194,43,0,193
7,1056,23,39,752,51,0,191
8,1829,33,96,1412,49,1,238
9,1749,38,82,1362,47,0,220
10,1122,30,40,843,39,0,170
Total,13531,301,565,10366,463,1,1835
Average,1353,30,56,1036,46,0,183
