run,total,proton,electron,gamma,pion,muon,other
1,1984,16,68,1672,40,0,188
2,983,23,24,721,54,0,161
3,1286,18,46,1004,55,0,163
4,860,23,31,654,22,1,129
5,1912,19,87,1625,42,0,139
6,1331,29,45,1037,40,0,180
7,1742,44,73,1362,54,0,209
8,1281,24,63,986,46,0,162
9,1173,24,57,838,45,0,209
10,1043,28,42,808,43,0,122
Total,13595,248,536,10707,441,1,1662
Average,1359,24,53,1070,44,0,166
